Random seed = 3847056335
/p/work/rditljtd/automl_zero/baseline_full.db3
evol_id:75327
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=32, mean=0.514234, stdev=0.013251, best fit=0.552400, best_overall=0.552400, mean_diversity=0.208725,
indivs=20396, elapsed_secs=35, mean=0.517247, stdev=0.021596, best fit=0.556000, best_overall=0.556000, mean_diversity=0.217702,
indivs=30494, elapsed_secs=38, mean=0.533936, stdev=0.029344, best fit=0.556000, best_overall=0.556000, mean_diversity=0.175179,
indivs=40592, elapsed_secs=41, mean=0.518905, stdev=0.015219, best fit=0.559700, best_overall=0.559700, mean_diversity=0.165709,
indivs=50690, elapsed_secs=45, mean=0.501423, stdev=0.027229, best fit=0.578800, best_overall=0.578800, mean_diversity=0.222166,
indivs=60788, elapsed_secs=49, mean=0.530452, stdev=0.022679, best fit=0.584800, best_overall=0.584800, mean_diversity=0.213184,
indivs=70886, elapsed_secs=55, mean=0.545589, stdev=0.034677, best fit=0.584800, best_overall=0.584800, mean_diversity=0.196667,
indivs=80984, elapsed_secs=59, mean=0.515880, stdev=0.022639, best fit=0.584800, best_overall=0.584800, mean_diversity=0.143704,
indivs=91082, elapsed_secs=66, mean=0.534497, stdev=0.030747, best fit=0.585700, best_overall=0.585700, mean_diversity=0.211311,
indivs=101180, elapsed_secs=73, mean=0.532796, stdev=0.061110, best fit=0.585700, best_overall=0.585700, mean_diversity=0.113207,
indivs=111278, elapsed_secs=80, mean=0.528097, stdev=0.022368, best fit=0.585700, best_overall=0.585700, mean_diversity=0.177870,
indivs=121376, elapsed_secs=87, mean=0.539622, stdev=0.031618, best fit=0.585700, best_overall=0.585700, mean_diversity=0.285377,
indivs=131474, elapsed_secs=94, mean=0.612600, stdev=0.054383, best fit=0.669200, best_overall=0.669200, mean_diversity=0.155709,
indivs=141572, elapsed_secs=113, mean=0.603089, stdev=0.076246, best fit=0.671300, best_overall=0.671300, mean_diversity=0.122405,
indivs=151670, elapsed_secs=133, mean=0.607808, stdev=0.081348, best fit=0.672300, best_overall=0.672300, mean_diversity=0.135265,
indivs=161768, elapsed_secs=159, mean=0.625357, stdev=0.107577, best fit=0.672300, best_overall=0.672300, mean_diversity=0.271546,
indivs=171866, elapsed_secs=181, mean=0.590267, stdev=0.084603, best fit=0.672300, best_overall=0.672300, mean_diversity=0.202513,
indivs=181964, elapsed_secs=203, mean=0.646999, stdev=0.058518, best fit=0.672300, best_overall=0.672300, mean_diversity=0.225221,
