Random seed = 2250244514
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
evol_id:33832
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=34, mean=0.500752, stdev=0.010093, best fit=0.574700, best_overall=0.574700, mean_diversity=0.246951,
indivs=20396, elapsed_secs=42, mean=0.501109, stdev=0.018960, best fit=0.580200, best_overall=0.580200, mean_diversity=0.129605,
indivs=30494, elapsed_secs=48, mean=0.503049, stdev=0.014941, best fit=0.581100, best_overall=0.581100, mean_diversity=0.221789,
indivs=40592, elapsed_secs=54, mean=0.504960, stdev=0.020520, best fit=0.582000, best_overall=0.582000, mean_diversity=0.172846,
indivs=50690, elapsed_secs=62, mean=0.478357, stdev=0.080485, best fit=0.584300, best_overall=0.584300, mean_diversity=0.301358,
indivs=60788, elapsed_secs=70, mean=0.500908, stdev=0.009034, best fit=0.590800, best_overall=0.590800, mean_diversity=0.064183,
indivs=70886, elapsed_secs=80, mean=0.480781, stdev=0.107701, best fit=0.590800, best_overall=0.590800, mean_diversity=0.230086,
indivs=80984, elapsed_secs=89, mean=0.501980, stdev=0.019309, best fit=0.591100, best_overall=0.591100, mean_diversity=0.268656,
indivs=91082, elapsed_secs=99, mean=0.499820, stdev=0.009650, best fit=0.591100, best_overall=0.591100, mean_diversity=0.243665,
indivs=101180, elapsed_secs=108, mean=0.493370, stdev=0.068707, best fit=0.591100, best_overall=0.591100, mean_diversity=0.330407,
indivs=111278, elapsed_secs=117, mean=0.520649, stdev=0.064515, best fit=0.669100, best_overall=0.669100, mean_diversity=0.227177,
indivs=121376, elapsed_secs=128, mean=0.513954, stdev=0.055621, best fit=0.669300, best_overall=0.669300, mean_diversity=0.220568,
indivs=131474, elapsed_secs=137, mean=0.501581, stdev=0.016890, best fit=0.669400, best_overall=0.669400, mean_diversity=0.081745,
indivs=141572, elapsed_secs=147, mean=0.516486, stdev=0.046361, best fit=0.669400, best_overall=0.669400, mean_diversity=0.273243,
indivs=151670, elapsed_secs=157, mean=0.493404, stdev=0.072584, best fit=0.670500, best_overall=0.670500, mean_diversity=0.312893,
indivs=161768, elapsed_secs=168, mean=0.589826, stdev=0.105849, best fit=0.670500, best_overall=0.670500, mean_diversity=0.204014,
indivs=171866, elapsed_secs=179, mean=0.584995, stdev=0.085740, best fit=0.670500, best_overall=0.670500, mean_diversity=0.166745,
indivs=181964, elapsed_secs=189, mean=0.515230, stdev=0.074993, best fit=0.670500, best_overall=0.670500, mean_diversity=0.209890,
indivs=192062, elapsed_secs=199, mean=0.518741, stdev=0.051449, best fit=0.670500, best_overall=0.670500, mean_diversity=0.150825,
indivs=202160, elapsed_secs=209, mean=0.547731, stdev=0.068576, best fit=0.670500, best_overall=0.670500, mean_diversity=0.127705,
indivs=212258, elapsed_secs=219, mean=0.571386, stdev=0.100608, best fit=0.670500, best_overall=0.670500, mean_diversity=0.205167,
indivs=222356, elapsed_secs=229, mean=0.518025, stdev=0.073833, best fit=0.670500, best_overall=0.670500, mean_diversity=0.164783,
indivs=232454, elapsed_secs=237, mean=0.549042, stdev=0.073373, best fit=0.670500, best_overall=0.670500, mean_diversity=0.252937,
indivs=242552, elapsed_secs=246, mean=0.579928, stdev=0.085299, best fit=0.670500, best_overall=0.670500, mean_diversity=0.213355,
indivs=252650, elapsed_secs=257, mean=0.506315, stdev=0.023594, best fit=0.670500, best_overall=0.670500, mean_diversity=0.255831,
indivs=262748, elapsed_secs=265, mean=0.511800, stdev=0.133067, best fit=0.670500, best_overall=0.670500, mean_diversity=0.326238,
indivs=272846, elapsed_secs=274, mean=0.593289, stdev=0.103747, best fit=0.674500, best_overall=0.674500, mean_diversity=0.055539,
indivs=282944, elapsed_secs=285, mean=0.500780, stdev=0.070305, best fit=0.674900, best_overall=0.674900, mean_diversity=0.147646,
indivs=293042, elapsed_secs=309, mean=0.405645, stdev=0.252591, best fit=0.675600, best_overall=0.675600, mean_diversity=0.289785,
indivs=303140, elapsed_secs=329, mean=0.544734, stdev=0.180036, best fit=0.675600, best_overall=0.675600, mean_diversity=0.134523,
indivs=313238, elapsed_secs=346, mean=0.501756, stdev=0.017472, best fit=0.675600, best_overall=0.675600, mean_diversity=0.040912,
indivs=323336, elapsed_secs=363, mean=0.572336, stdev=0.106194, best fit=0.675600, best_overall=0.675600, mean_diversity=0.053553,
indivs=333434, elapsed_secs=378, mean=0.489771, stdev=0.159548, best fit=0.675600, best_overall=0.675600, mean_diversity=0.191848,
indivs=343532, elapsed_secs=397, mean=0.492266, stdev=0.068597, best fit=0.676300, best_overall=0.676300, mean_diversity=0.205727,
indivs=353630, elapsed_secs=417, mean=0.486763, stdev=0.087382, best fit=0.676300, best_overall=0.676300, mean_diversity=0.178674,
indivs=363728, elapsed_secs=437, mean=0.571911, stdev=0.117588, best fit=0.676300, best_overall=0.676300, mean_diversity=0.216867,
indivs=373826, elapsed_secs=455, mean=0.562024, stdev=0.132570, best fit=0.676300, best_overall=0.676300, mean_diversity=0.268272,
indivs=383924, elapsed_secs=472, mean=0.553162, stdev=0.114002, best fit=0.676300, best_overall=0.676300, mean_diversity=0.261022,
indivs=394022, elapsed_secs=489, mean=0.504070, stdev=0.024730, best fit=0.676300, best_overall=0.676300, mean_diversity=0.107408,
indivs=404120, elapsed_secs=510, mean=0.613521, stdev=0.113458, best fit=0.676300, best_overall=0.676300, mean_diversity=0.145933,
indivs=414218, elapsed_secs=529, mean=0.494158, stdev=0.161242, best fit=0.676300, best_overall=0.676300, mean_diversity=0.320212,
indivs=424316, elapsed_secs=548, mean=0.534561, stdev=0.138213, best fit=0.676300, best_overall=0.676300, mean_diversity=0.267612,
indivs=434414, elapsed_secs=564, mean=0.513092, stdev=0.094036, best fit=0.676300, best_overall=0.676300, mean_diversity=0.234732,
indivs=444512, elapsed_secs=582, mean=0.484648, stdev=0.145075, best fit=0.676300, best_overall=0.676300, mean_diversity=0.282015,
indivs=454610, elapsed_secs=596, mean=0.493915, stdev=0.078916, best fit=0.676300, best_overall=0.676300, mean_diversity=0.386913,
indivs=464708, elapsed_secs=615, mean=0.536696, stdev=0.098136, best fit=0.676300, best_overall=0.676300, mean_diversity=0.353204,
indivs=474806, elapsed_secs=632, mean=0.549728, stdev=0.080218, best fit=0.676300, best_overall=0.676300, mean_diversity=0.218622,
indivs=484904, elapsed_secs=650, mean=0.593058, stdev=0.104787, best fit=0.676300, best_overall=0.676300, mean_diversity=0.126325,
indivs=495002, elapsed_secs=667, mean=0.464270, stdev=0.125815, best fit=0.676300, best_overall=0.676300, mean_diversity=0.174970,
indivs=505100, elapsed_secs=686, mean=0.539281, stdev=0.062445, best fit=0.689000, best_overall=0.689000, mean_diversity=0.295637,
indivs=515198, elapsed_secs=710, mean=0.540813, stdev=0.148709, best fit=0.691300, best_overall=0.691300, mean_diversity=0.224617,
indivs=525296, elapsed_secs=729, mean=0.567302, stdev=0.139907, best fit=0.691300, best_overall=0.691300, mean_diversity=0.249351,
indivs=535394, elapsed_secs=747, mean=0.562492, stdev=0.082993, best fit=0.691300, best_overall=0.691300, mean_diversity=0.339624,
indivs=545492, elapsed_secs=765, mean=0.564235, stdev=0.163335, best fit=0.691300, best_overall=0.691300, mean_diversity=0.118486,
indivs=555590, elapsed_secs=782, mean=0.525230, stdev=0.167054, best fit=0.691300, best_overall=0.691300, mean_diversity=0.139684,
indivs=565688, elapsed_secs=799, mean=0.534743, stdev=0.103547, best fit=0.691300, best_overall=0.691300, mean_diversity=0.325966,
