Random seed = 4258800736
/p/work/rditljtd/automl_zero/baseline_full_qdupdate.db3
evol_id:36657
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qdupdate.db3
Random seed = 688550062
/p/work/rditljtd/automl_zero/baseline_full_qdupdate.db3
evol_id:97761
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10285, elapsed_secs=10, mean=0.495160, stdev=0.015632, best fit=0.532400, best_overall=0.532400, mean_diversity=0.261024,
indivs=20286, elapsed_secs=17, mean=0.503674, stdev=0.061435, best fit=0.663200, best_overall=0.663200, mean_diversity=0.159772,
indivs=30302, elapsed_secs=27, mean=0.498598, stdev=0.034248, best fit=0.665700, best_overall=0.665700, mean_diversity=0.148790,
indivs=40315, elapsed_secs=33, mean=0.490425, stdev=0.072777, best fit=0.669400, best_overall=0.669400, mean_diversity=0.171899,
indivs=50419, elapsed_secs=38, mean=0.528957, stdev=0.113617, best fit=0.669400, best_overall=0.669400, mean_diversity=0.217040,
indivs=60476, elapsed_secs=44, mean=0.489678, stdev=0.055049, best fit=0.669400, best_overall=0.669400, mean_diversity=0.227688,
indivs=70512, elapsed_secs=49, mean=0.500621, stdev=0.017306, best fit=0.669400, best_overall=0.669400, mean_diversity=0.243834,
indivs=80582, elapsed_secs=55, mean=0.498602, stdev=0.018628, best fit=0.669400, best_overall=0.669400, mean_diversity=0.249128,
indivs=90602, elapsed_secs=61, mean=0.530978, stdev=0.086609, best fit=0.669400, best_overall=0.669400, mean_diversity=0.233752,
indivs=100659, elapsed_secs=67, mean=0.501059, stdev=0.017052, best fit=0.669400, best_overall=0.669400, mean_diversity=0.220221,
indivs=110710, elapsed_secs=73, mean=0.488719, stdev=0.082859, best fit=0.669400, best_overall=0.669400, mean_diversity=0.282796,
Random seed = 762678301
/p/work/rditljtd/automl_zero/baseline_full_qdupdate.db3
evol_id:4925
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10268, elapsed_secs=29, mean=0.468005, stdev=0.091323, best fit=0.535700, best_overall=0.535700, mean_diversity=0.367723,
indivs=20275, elapsed_secs=32, mean=0.506836, stdev=0.021490, best fit=0.564200, best_overall=0.564200, mean_diversity=0.274948,
indivs=30364, elapsed_secs=39, mean=0.504260, stdev=0.054091, best fit=0.572800, best_overall=0.572800, mean_diversity=0.217929,
indivs=40422, elapsed_secs=45, mean=0.502936, stdev=0.013730, best fit=0.572800, best_overall=0.572800, mean_diversity=0.221511,
indivs=50476, elapsed_secs=51, mean=0.505080, stdev=0.016825, best fit=0.572800, best_overall=0.572800, mean_diversity=0.189624,
indivs=60482, elapsed_secs=56, mean=0.495728, stdev=0.050346, best fit=0.572800, best_overall=0.572800, mean_diversity=0.217809,
indivs=70592, elapsed_secs=62, mean=0.501315, stdev=0.053306, best fit=0.572800, best_overall=0.572800, mean_diversity=0.240455,
indivs=80672, elapsed_secs=68, mean=0.444750, stdev=0.138780, best fit=0.573100, best_overall=0.573100, mean_diversity=0.443776,
indivs=90694, elapsed_secs=75, mean=0.500731, stdev=0.007273, best fit=0.573100, best_overall=0.573100, mean_diversity=0.242185,
indivs=100695, elapsed_secs=82, mean=0.499249, stdev=0.019207, best fit=0.583400, best_overall=0.583400, mean_diversity=0.193282,
indivs=110799, elapsed_secs=90, mean=0.504114, stdev=0.020509, best fit=0.583400, best_overall=0.583400, mean_diversity=0.249079,
indivs=120853, elapsed_secs=97, mean=0.495681, stdev=0.052084, best fit=0.583400, best_overall=0.583400, mean_diversity=0.177920,
indivs=130936, elapsed_secs=103, mean=0.498911, stdev=0.053446, best fit=0.583400, best_overall=0.583400, mean_diversity=0.382287,
indivs=140937, elapsed_secs=109, mean=0.514596, stdev=0.030150, best fit=0.583400, best_overall=0.583400, mean_diversity=0.328610,
indivs=150951, elapsed_secs=116, mean=0.496221, stdev=0.050818, best fit=0.583400, best_overall=0.583400, mean_diversity=0.245127,
indivs=161040, elapsed_secs=122, mean=0.501086, stdev=0.018113, best fit=0.583400, best_overall=0.583400, mean_diversity=0.385069,
indivs=171094, elapsed_secs=129, mean=0.500651, stdev=0.008887, best fit=0.586500, best_overall=0.586500, mean_diversity=0.244580,
indivs=181214, elapsed_secs=135, mean=0.510570, stdev=0.020633, best fit=0.586500, best_overall=0.586500, mean_diversity=0.332000,
indivs=191230, elapsed_secs=141, mean=0.500857, stdev=0.008608, best fit=0.586500, best_overall=0.586500, mean_diversity=0.372450,
indivs=201257, elapsed_secs=148, mean=0.500271, stdev=0.010490, best fit=0.586500, best_overall=0.586500, mean_diversity=0.279129,
