Random seed = 691166712
/p/work/rditljtd/automl_zero/baseline_qd.db3
evol_id:42126
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=128, mean=0.528006, stdev=0.032367, best fit=0.557600, best_overall=0.557600, mean_diversity=0.230213,
indivs=20396, elapsed_secs=296, mean=0.505099, stdev=0.016605, best fit=0.557800, best_overall=0.557800, mean_diversity=0.321868,
indivs=30494, elapsed_secs=470, mean=0.510365, stdev=0.040835, best fit=0.572400, best_overall=0.572400, mean_diversity=0.093026,
indivs=40592, elapsed_secs=672, mean=0.475521, stdev=0.109356, best fit=0.574700, best_overall=0.574700, mean_diversity=0.128670,
indivs=50690, elapsed_secs=899, mean=0.500171, stdev=0.009431, best fit=0.574700, best_overall=0.574700, mean_diversity=0.128985,
indivs=60788, elapsed_secs=1131, mean=0.500815, stdev=0.011060, best fit=0.583600, best_overall=0.583600, mean_diversity=0.222947,
indivs=70886, elapsed_secs=1346, mean=0.533713, stdev=0.067486, best fit=0.669100, best_overall=0.669100, mean_diversity=0.249276,
indivs=80984, elapsed_secs=1594, mean=0.496666, stdev=0.078328, best fit=0.669100, best_overall=0.669100, mean_diversity=0.194538,
indivs=91082, elapsed_secs=1806, mean=0.573320, stdev=0.129949, best fit=0.669100, best_overall=0.669100, mean_diversity=0.102495,
indivs=101180, elapsed_secs=2100, mean=0.511213, stdev=0.092895, best fit=0.670200, best_overall=0.670200, mean_diversity=0.263479,
indivs=111278, elapsed_secs=2366, mean=0.555957, stdev=0.127921, best fit=0.670500, best_overall=0.670500, mean_diversity=0.282591,
indivs=121376, elapsed_secs=2635, mean=0.594156, stdev=0.116716, best fit=0.673300, best_overall=0.673300, mean_diversity=0.115410,
indivs=131474, elapsed_secs=2911, mean=0.547962, stdev=0.096471, best fit=0.674700, best_overall=0.674700, mean_diversity=0.344217,
indivs=141572, elapsed_secs=3188, mean=0.576048, stdev=0.116911, best fit=0.674700, best_overall=0.674700, mean_diversity=0.238596,
indivs=151670, elapsed_secs=3438, mean=0.559662, stdev=0.114576, best fit=0.674700, best_overall=0.674700, mean_diversity=0.302115,
indivs=161768, elapsed_secs=3702, mean=0.473724, stdev=0.113670, best fit=0.674700, best_overall=0.674700, mean_diversity=0.150436,
indivs=171866, elapsed_secs=3973, mean=0.582828, stdev=0.121697, best fit=0.674700, best_overall=0.674700, mean_diversity=0.112884,
indivs=181964, elapsed_secs=4245, mean=0.518830, stdev=0.095518, best fit=0.674700, best_overall=0.674700, mean_diversity=0.352615,
indivs=192062, elapsed_secs=4508, mean=0.554062, stdev=0.151303, best fit=0.674700, best_overall=0.674700, mean_diversity=0.278423,
indivs=202160, elapsed_secs=4771, mean=0.587373, stdev=0.117409, best fit=0.674700, best_overall=0.674700, mean_diversity=0.146051,
indivs=212258, elapsed_secs=5033, mean=0.557135, stdev=0.086466, best fit=0.674700, best_overall=0.674700, mean_diversity=0.325063,
indivs=222356, elapsed_secs=5293, mean=0.501335, stdev=0.017441, best fit=0.674700, best_overall=0.674700, mean_diversity=0.156329,
indivs=232454, elapsed_secs=5559, mean=0.504177, stdev=0.116243, best fit=0.674700, best_overall=0.674700, mean_diversity=0.200864,
indivs=242552, elapsed_secs=5803, mean=0.493939, stdev=0.074590, best fit=0.674700, best_overall=0.674700, mean_diversity=0.139601,
indivs=252650, elapsed_secs=6064, mean=0.518513, stdev=0.113492, best fit=0.674700, best_overall=0.674700, mean_diversity=0.323158,
indivs=262748, elapsed_secs=6352, mean=0.536743, stdev=0.150195, best fit=0.674700, best_overall=0.674700, mean_diversity=0.450259,
indivs=272846, elapsed_secs=6606, mean=0.582326, stdev=0.117752, best fit=0.674800, best_overall=0.674800, mean_diversity=0.245256,
indivs=282944, elapsed_secs=6904, mean=0.560078, stdev=0.131400, best fit=0.674800, best_overall=0.674800, mean_diversity=0.162257,
indivs=293042, elapsed_secs=7211, mean=0.531953, stdev=0.088111, best fit=0.674800, best_overall=0.674800, mean_diversity=0.263008,
indivs=303140, elapsed_secs=7512, mean=0.570914, stdev=0.083159, best fit=0.674800, best_overall=0.674800, mean_diversity=0.282719,
indivs=313238, elapsed_secs=7815, mean=0.519862, stdev=0.053912, best fit=0.674800, best_overall=0.674800, mean_diversity=0.201798,
indivs=323336, elapsed_secs=8111, mean=0.592868, stdev=0.103596, best fit=0.674800, best_overall=0.674800, mean_diversity=0.248519,
indivs=333434, elapsed_secs=8420, mean=0.528950, stdev=0.159847, best fit=0.674800, best_overall=0.674800, mean_diversity=0.131377,
indivs=343532, elapsed_secs=8729, mean=0.541076, stdev=0.077505, best fit=0.674800, best_overall=0.674800, mean_diversity=0.168756,
indivs=353630, elapsed_secs=9004, mean=0.497437, stdev=0.139720, best fit=0.674800, best_overall=0.674800, mean_diversity=0.214676,
indivs=363728, elapsed_secs=9319, mean=0.548745, stdev=0.076665, best fit=0.674800, best_overall=0.674800, mean_diversity=0.288698,
indivs=373826, elapsed_secs=9631, mean=0.547683, stdev=0.099309, best fit=0.674800, best_overall=0.674800, mean_diversity=0.191630,
indivs=383924, elapsed_secs=9932, mean=0.498158, stdev=0.079618, best fit=0.674800, best_overall=0.674800, mean_diversity=0.197986,
indivs=394022, elapsed_secs=10225, mean=0.502114, stdev=0.058196, best fit=0.674800, best_overall=0.674800, mean_diversity=0.144836,
indivs=404120, elapsed_secs=10540, mean=0.554680, stdev=0.139598, best fit=0.674800, best_overall=0.674800, mean_diversity=0.371474,
indivs=414218, elapsed_secs=10854, mean=0.515949, stdev=0.116996, best fit=0.674800, best_overall=0.674800, mean_diversity=0.254343,
indivs=424316, elapsed_secs=11180, mean=0.481765, stdev=0.115381, best fit=0.674800, best_overall=0.674800, mean_diversity=0.283528,
indivs=434414, elapsed_secs=11478, mean=0.527768, stdev=0.084121, best fit=0.674800, best_overall=0.674800, mean_diversity=0.249197,
indivs=444512, elapsed_secs=11782, mean=0.564707, stdev=0.138340, best fit=0.674800, best_overall=0.674800, mean_diversity=0.172132,
indivs=454610, elapsed_secs=12093, mean=0.602536, stdev=0.123775, best fit=0.674800, best_overall=0.674800, mean_diversity=0.169220,
indivs=464708, elapsed_secs=12375, mean=0.574596, stdev=0.102800, best fit=0.674800, best_overall=0.674800, mean_diversity=0.313356,
