Random seed = 3553288376
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:29730
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Random seed = 3084953979
Random seed = 4004369049
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:1115
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=185, mean=0.485931, stdev=0.085786, best fit=0.572800, best_overall=0.572800, mean_diversity=0.139222,
indivs=20396, elapsed_secs=462, mean=0.498544, stdev=0.026338, best fit=0.572800, best_overall=0.572800, mean_diversity=0.115932,
indivs=30494, elapsed_secs=731, mean=0.477228, stdev=0.103728, best fit=0.572800, best_overall=0.572800, mean_diversity=0.390421,
indivs=40592, elapsed_secs=1020, mean=0.471617, stdev=0.119618, best fit=0.572800, best_overall=0.572800, mean_diversity=0.287211,
indivs=50690, elapsed_secs=1353, mean=0.495726, stdev=0.050346, best fit=0.572800, best_overall=0.572800, mean_diversity=0.189706,
indivs=60788, elapsed_secs=1641, mean=0.500728, stdev=0.007244, best fit=0.572800, best_overall=0.572800, mean_diversity=0.180055,
indivs=70886, elapsed_secs=1886, mean=0.560541, stdev=0.152042, best fit=0.668700, best_overall=0.668700, mean_diversity=0.152834,
indivs=80984, elapsed_secs=2062, mean=0.571247, stdev=0.163355, best fit=0.669200, best_overall=0.669200, mean_diversity=0.190017,
indivs=91082, elapsed_secs=2261, mean=0.570335, stdev=0.116574, best fit=0.669200, best_overall=0.669200, mean_diversity=0.261053,
indivs=101180, elapsed_secs=2432, mean=0.587323, stdev=0.117864, best fit=0.669200, best_overall=0.669200, mean_diversity=0.290133,
indivs=111278, elapsed_secs=2637, mean=0.501794, stdev=0.060305, best fit=0.669200, best_overall=0.669200, mean_diversity=0.413040,
indivs=121376, elapsed_secs=2799, mean=0.496320, stdev=0.113375, best fit=0.669200, best_overall=0.669200, mean_diversity=0.243842,
indivs=131474, elapsed_secs=2958, mean=0.535035, stdev=0.121893, best fit=0.669200, best_overall=0.669200, mean_diversity=0.284279,
indivs=141572, elapsed_secs=3114, mean=0.510546, stdev=0.080108, best fit=0.669200, best_overall=0.669200, mean_diversity=0.323185,
indivs=151670, elapsed_secs=3305, mean=0.508763, stdev=0.040583, best fit=0.669200, best_overall=0.669200, mean_diversity=0.351565,
indivs=161768, elapsed_secs=3504, mean=0.545247, stdev=0.125490, best fit=0.669200, best_overall=0.669200, mean_diversity=0.147854,
indivs=171866, elapsed_secs=3690, mean=0.499015, stdev=0.114674, best fit=0.669200, best_overall=0.669200, mean_diversity=0.196966,
indivs=181964, elapsed_secs=3849, mean=0.575499, stdev=0.084257, best fit=0.669200, best_overall=0.669200, mean_diversity=0.304063,
