Random seed = 3549005816
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:25952
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Random seed = 4019582012
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:27720
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=181, mean=0.500499, stdev=0.007031, best fit=0.568100, best_overall=0.568100, mean_diversity=0.188601,
indivs=20396, elapsed_secs=429, mean=0.500758, stdev=0.007542, best fit=0.575800, best_overall=0.575800, mean_diversity=0.142943,
indivs=30494, elapsed_secs=650, mean=0.497208, stdev=0.051020, best fit=0.577600, best_overall=0.577600, mean_diversity=0.243347,
indivs=40592, elapsed_secs=903, mean=0.472637, stdev=0.117946, best fit=0.577600, best_overall=0.577600, mean_diversity=0.314184,
indivs=50690, elapsed_secs=1104, mean=0.495575, stdev=0.050428, best fit=0.577600, best_overall=0.577600, mean_diversity=0.214641,
indivs=60788, elapsed_secs=1350, mean=0.500993, stdev=0.009453, best fit=0.579100, best_overall=0.579100, mean_diversity=0.152486,
indivs=70886, elapsed_secs=1535, mean=0.466062, stdev=0.128456, best fit=0.587900, best_overall=0.587900, mean_diversity=0.318636,
indivs=80984, elapsed_secs=1743, mean=0.495885, stdev=0.050600, best fit=0.587900, best_overall=0.587900, mean_diversity=0.333825,
indivs=91082, elapsed_secs=1991, mean=0.480849, stdev=0.098542, best fit=0.587900, best_overall=0.587900, mean_diversity=0.258427,
indivs=101180, elapsed_secs=2207, mean=0.497662, stdev=0.052277, best fit=0.591800, best_overall=0.591800, mean_diversity=0.152340,
indivs=111278, elapsed_secs=2367, mean=0.496086, stdev=0.050695, best fit=0.591800, best_overall=0.591800, mean_diversity=0.253884,
indivs=121376, elapsed_secs=2604, mean=0.496598, stdev=0.051140, best fit=0.591800, best_overall=0.591800, mean_diversity=0.283290,
indivs=131474, elapsed_secs=2813, mean=0.488479, stdev=0.076685, best fit=0.591800, best_overall=0.591800, mean_diversity=0.188178,
indivs=141572, elapsed_secs=3053, mean=0.496970, stdev=0.051273, best fit=0.591800, best_overall=0.591800, mean_diversity=0.387692,
indivs=151670, elapsed_secs=3252, mean=0.496601, stdev=0.046025, best fit=0.591800, best_overall=0.591800, mean_diversity=0.352508,
indivs=161768, elapsed_secs=3492, mean=0.491541, stdev=0.070916, best fit=0.591800, best_overall=0.591800, mean_diversity=0.358424,
indivs=171866, elapsed_secs=3704, mean=0.500918, stdev=0.009134, best fit=0.591800, best_overall=0.591800, mean_diversity=0.463771,
indivs=181964, elapsed_secs=3927, mean=0.475846, stdev=0.109551, best fit=0.591800, best_overall=0.591800, mean_diversity=0.208926,
indivs=192062, elapsed_secs=4162, mean=0.495000, stdev=0.051098, best fit=0.591800, best_overall=0.591800, mean_diversity=0.201225,
indivs=202160, elapsed_secs=4394, mean=0.494855, stdev=0.043105, best fit=0.591800, best_overall=0.591800, mean_diversity=0.196685,
indivs=212258, elapsed_secs=4620, mean=0.501004, stdev=0.011632, best fit=0.591800, best_overall=0.591800, mean_diversity=0.229017,
indivs=222356, elapsed_secs=4840, mean=0.488918, stdev=0.073222, best fit=0.591800, best_overall=0.591800, mean_diversity=0.302893,
indivs=232454, elapsed_secs=5060, mean=0.501013, stdev=0.009192, best fit=0.591800, best_overall=0.591800, mean_diversity=0.314441,
indivs=242552, elapsed_secs=5297, mean=0.495987, stdev=0.050682, best fit=0.591800, best_overall=0.591800, mean_diversity=0.311722,
indivs=252650, elapsed_secs=5506, mean=0.500661, stdev=0.009362, best fit=0.591800, best_overall=0.591800, mean_diversity=0.123301,
indivs=262748, elapsed_secs=5718, mean=0.490435, stdev=0.087489, best fit=0.591800, best_overall=0.591800, mean_diversity=0.381449,
indivs=272846, elapsed_secs=5956, mean=0.487544, stdev=0.087739, best fit=0.591800, best_overall=0.591800, mean_diversity=0.216191,
indivs=282944, elapsed_secs=6201, mean=0.500918, stdev=0.009134, best fit=0.591800, best_overall=0.591800, mean_diversity=0.196306,
indivs=293042, elapsed_secs=6422, mean=0.500922, stdev=0.009134, best fit=0.591800, best_overall=0.591800, mean_diversity=0.182791,
indivs=303140, elapsed_secs=6620, mean=0.495938, stdev=0.050674, best fit=0.591800, best_overall=0.591800, mean_diversity=0.221329,
indivs=313238, elapsed_secs=6870, mean=0.490898, stdev=0.070776, best fit=0.591800, best_overall=0.591800, mean_diversity=0.220051,
indivs=323336, elapsed_secs=7074, mean=0.485918, stdev=0.085942, best fit=0.591800, best_overall=0.591800, mean_diversity=0.203041,
indivs=333434, elapsed_secs=7282, mean=0.496541, stdev=0.050982, best fit=0.591800, best_overall=0.591800, mean_diversity=0.268485,
indivs=343532, elapsed_secs=7491, mean=0.500290, stdev=0.010485, best fit=0.591800, best_overall=0.591800, mean_diversity=0.218910,
indivs=353630, elapsed_secs=7752, mean=0.490918, stdev=0.070723, best fit=0.591800, best_overall=0.591800, mean_diversity=0.140668,
