Random seed = 3567684026
Random seed = 4008988476
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:22494
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=265, mean=0.496408, stdev=0.052736, best fit=0.669100, best_overall=0.669100, mean_diversity=0.254006,
indivs=20396, elapsed_secs=573, mean=0.505163, stdev=0.064736, best fit=0.671200, best_overall=0.671200, mean_diversity=0.414317,
indivs=30494, elapsed_secs=902, mean=0.481716, stdev=0.099801, best fit=0.671600, best_overall=0.671600, mean_diversity=0.160512,
indivs=40592, elapsed_secs=1235, mean=0.516891, stdev=0.066123, best fit=0.671600, best_overall=0.671600, mean_diversity=0.430227,
indivs=50690, elapsed_secs=1564, mean=0.487704, stdev=0.089001, best fit=0.671700, best_overall=0.671700, mean_diversity=0.338249,
indivs=60788, elapsed_secs=1893, mean=0.471539, stdev=0.133495, best fit=0.671700, best_overall=0.671700, mean_diversity=0.383056,
indivs=70886, elapsed_secs=2236, mean=0.561560, stdev=0.119266, best fit=0.672700, best_overall=0.672700, mean_diversity=0.182061,
indivs=80984, elapsed_secs=2548, mean=0.538700, stdev=0.107292, best fit=0.672800, best_overall=0.672800, mean_diversity=0.140776,
indivs=91082, elapsed_secs=2878, mean=0.491658, stdev=0.072312, best fit=0.672800, best_overall=0.672800, mean_diversity=0.330904,
indivs=101180, elapsed_secs=3207, mean=0.487677, stdev=0.134069, best fit=0.674500, best_overall=0.674500, mean_diversity=0.321306,
indivs=111278, elapsed_secs=3491, mean=0.543518, stdev=0.197566, best fit=0.674500, best_overall=0.674500, mean_diversity=0.143598,
indivs=121376, elapsed_secs=3816, mean=0.492769, stdev=0.074290, best fit=0.674500, best_overall=0.674500, mean_diversity=0.292992,
indivs=131474, elapsed_secs=4117, mean=0.537424, stdev=0.136753, best fit=0.674500, best_overall=0.674500, mean_diversity=0.273565,
indivs=141572, elapsed_secs=4427, mean=0.502759, stdev=0.117801, best fit=0.686700, best_overall=0.686700, mean_diversity=0.189550,
indivs=151670, elapsed_secs=4786, mean=0.532273, stdev=0.102699, best fit=0.688500, best_overall=0.688500, mean_diversity=0.300658,
indivs=161768, elapsed_secs=5186, mean=0.505367, stdev=0.145041, best fit=0.688500, best_overall=0.688500, mean_diversity=0.320419,
indivs=171866, elapsed_secs=5580, mean=0.504044, stdev=0.018698, best fit=0.688500, best_overall=0.688500, mean_diversity=0.152532,
indivs=181964, elapsed_secs=5948, mean=0.441428, stdev=0.244182, best fit=0.688500, best_overall=0.688500, mean_diversity=0.200333,
indivs=192062, elapsed_secs=6317, mean=0.561096, stdev=0.163474, best fit=0.688500, best_overall=0.688500, mean_diversity=0.176774,
indivs=202160, elapsed_secs=6702, mean=0.505617, stdev=0.226111, best fit=0.688500, best_overall=0.688500, mean_diversity=0.115188,
indivs=212258, elapsed_secs=7083, mean=0.505617, stdev=0.102637, best fit=0.691900, best_overall=0.691900, mean_diversity=0.285879,
indivs=222356, elapsed_secs=7451, mean=0.507375, stdev=0.063633, best fit=0.691900, best_overall=0.691900, mean_diversity=0.186692,
indivs=232454, elapsed_secs=7845, mean=0.471916, stdev=0.120746, best fit=0.691900, best_overall=0.691900, mean_diversity=0.123958,
indivs=242552, elapsed_secs=8229, mean=0.508547, stdev=0.158614, best fit=0.691900, best_overall=0.691900, mean_diversity=0.249012,
indivs=252650, elapsed_secs=8604, mean=0.509849, stdev=0.097399, best fit=0.691900, best_overall=0.691900, mean_diversity=0.263441,
indivs=262748, elapsed_secs=9000, mean=0.561228, stdev=0.115374, best fit=0.691900, best_overall=0.691900, mean_diversity=0.223801,
indivs=272846, elapsed_secs=9391, mean=0.486919, stdev=0.087733, best fit=0.691900, best_overall=0.691900, mean_diversity=0.075754,
indivs=282944, elapsed_secs=9776, mean=0.515061, stdev=0.094244, best fit=0.691900, best_overall=0.691900, mean_diversity=0.486875,
indivs=293042, elapsed_secs=10169, mean=0.575277, stdev=0.116418, best fit=0.691900, best_overall=0.691900, mean_diversity=0.181773,
indivs=303140, elapsed_secs=10538, mean=0.503426, stdev=0.176548, best fit=0.691900, best_overall=0.691900, mean_diversity=0.291968,
indivs=313238, elapsed_secs=10930, mean=0.546430, stdev=0.071873, best fit=0.691900, best_overall=0.691900, mean_diversity=0.290580,
indivs=323336, elapsed_secs=11323, mean=0.495294, stdev=0.127090, best fit=0.691900, best_overall=0.691900, mean_diversity=0.287500,
indivs=333434, elapsed_secs=11714, mean=0.559520, stdev=0.116435, best fit=0.691900, best_overall=0.691900, mean_diversity=0.353787,
indivs=343532, elapsed_secs=12096, mean=0.584756, stdev=0.185342, best fit=0.691900, best_overall=0.691900, mean_diversity=0.130018,
