Random seed = 3565320460
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:93120
Random seed = 4016871387
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
evol_id:44723
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=211, mean=0.490879, stdev=0.070622, best fit=0.577200, best_overall=0.577200, mean_diversity=0.239522,
indivs=20396, elapsed_secs=482, mean=0.570712, stdev=0.100127, best fit=0.668900, best_overall=0.668900, mean_diversity=0.192226,
indivs=30494, elapsed_secs=772, mean=0.593504, stdev=0.085811, best fit=0.669300, best_overall=0.669300, mean_diversity=0.105941,
indivs=40592, elapsed_secs=1046, mean=0.494082, stdev=0.094425, best fit=0.669300, best_overall=0.669300, mean_diversity=0.276146,
indivs=50690, elapsed_secs=1367, mean=0.538575, stdev=0.124699, best fit=0.671400, best_overall=0.671400, mean_diversity=0.426923,
indivs=60788, elapsed_secs=1671, mean=0.561043, stdev=0.143053, best fit=0.671400, best_overall=0.671400, mean_diversity=0.186468,
indivs=70886, elapsed_secs=1995, mean=0.566780, stdev=0.142051, best fit=0.671400, best_overall=0.671400, mean_diversity=0.162111,
indivs=80984, elapsed_secs=2303, mean=0.493883, stdev=0.127395, best fit=0.671400, best_overall=0.671400, mean_diversity=0.362128,
indivs=91082, elapsed_secs=2635, mean=0.524318, stdev=0.142052, best fit=0.672100, best_overall=0.672100, mean_diversity=0.249537,
indivs=101180, elapsed_secs=2980, mean=0.482054, stdev=0.210480, best fit=0.672100, best_overall=0.672100, mean_diversity=0.482177,
indivs=111278, elapsed_secs=3331, mean=0.512546, stdev=0.073390, best fit=0.672100, best_overall=0.672100, mean_diversity=0.192295,
indivs=121376, elapsed_secs=3685, mean=0.438480, stdev=0.180700, best fit=0.672100, best_overall=0.672100, mean_diversity=0.253512,
indivs=131474, elapsed_secs=4035, mean=0.544401, stdev=0.197618, best fit=0.672100, best_overall=0.672100, mean_diversity=0.131528,
indivs=141572, elapsed_secs=4388, mean=0.521209, stdev=0.100189, best fit=0.672100, best_overall=0.672100, mean_diversity=0.364257,
indivs=151670, elapsed_secs=4715, mean=0.580234, stdev=0.160579, best fit=0.672100, best_overall=0.672100, mean_diversity=0.117266,
indivs=161768, elapsed_secs=5047, mean=0.539543, stdev=0.175916, best fit=0.672100, best_overall=0.672100, mean_diversity=0.318120,
indivs=171866, elapsed_secs=5403, mean=0.479862, stdev=0.113835, best fit=0.672100, best_overall=0.672100, mean_diversity=0.143693,
indivs=181964, elapsed_secs=5766, mean=0.463721, stdev=0.143705, best fit=0.672100, best_overall=0.672100, mean_diversity=0.257179,
indivs=192062, elapsed_secs=6108, mean=0.579749, stdev=0.125576, best fit=0.672100, best_overall=0.672100, mean_diversity=0.198977,
indivs=202160, elapsed_secs=6443, mean=0.519783, stdev=0.113335, best fit=0.672100, best_overall=0.672100, mean_diversity=0.494340,
indivs=212258, elapsed_secs=6788, mean=0.492471, stdev=0.094762, best fit=0.672100, best_overall=0.672100, mean_diversity=0.138446,
indivs=222356, elapsed_secs=7127, mean=0.511473, stdev=0.191633, best fit=0.672100, best_overall=0.672100, mean_diversity=0.190208,
indivs=232454, elapsed_secs=7483, mean=0.581261, stdev=0.136763, best fit=0.672100, best_overall=0.672100, mean_diversity=0.092074,
indivs=242552, elapsed_secs=7844, mean=0.489602, stdev=0.091020, best fit=0.672100, best_overall=0.672100, mean_diversity=0.110642,
indivs=252650, elapsed_secs=8221, mean=0.586384, stdev=0.136199, best fit=0.672100, best_overall=0.672100, mean_diversity=0.136456,
indivs=262748, elapsed_secs=8570, mean=0.541171, stdev=0.143971, best fit=0.672100, best_overall=0.672100, mean_diversity=0.305470,
indivs=272846, elapsed_secs=8919, mean=0.520812, stdev=0.113651, best fit=0.672100, best_overall=0.672100, mean_diversity=0.336500,
indivs=282944, elapsed_secs=9260, mean=0.537693, stdev=0.146447, best fit=0.672100, best_overall=0.672100, mean_diversity=0.244901,
indivs=293042, elapsed_secs=9614, mean=0.571954, stdev=0.150324, best fit=0.672100, best_overall=0.672100, mean_diversity=0.090333,
indivs=303140, elapsed_secs=9976, mean=0.494652, stdev=0.180172, best fit=0.672100, best_overall=0.672100, mean_diversity=0.289268,
indivs=313238, elapsed_secs=10350, mean=0.547064, stdev=0.148951, best fit=0.672100, best_overall=0.672100, mean_diversity=0.256342,
indivs=323336, elapsed_secs=10711, mean=0.558885, stdev=0.116395, best fit=0.672100, best_overall=0.672100, mean_diversity=0.211685,
indivs=333434, elapsed_secs=11057, mean=0.501063, stdev=0.129656, best fit=0.672100, best_overall=0.672100, mean_diversity=0.293391,
indivs=343532, elapsed_secs=11396, mean=0.515401, stdev=0.110101, best fit=0.672100, best_overall=0.672100, mean_diversity=0.361473,
indivs=353630, elapsed_secs=11765, mean=0.574470, stdev=0.140986, best fit=0.672100, best_overall=0.672100, mean_diversity=0.150628,
indivs=363728, elapsed_secs=12124, mean=0.496190, stdev=0.053395, best fit=0.672100, best_overall=0.672100, mean_diversity=0.145451,
indivs=373826, elapsed_secs=12484, mean=0.570213, stdev=0.174600, best fit=0.672100, best_overall=0.672100, mean_diversity=0.070952,
indivs=383924, elapsed_secs=12813, mean=0.497694, stdev=0.094188, best fit=0.672100, best_overall=0.672100, mean_diversity=0.217035,
indivs=394022, elapsed_secs=13137, mean=0.471305, stdev=0.146640, best fit=0.672100, best_overall=0.672100, mean_diversity=0.191625,
indivs=404120, elapsed_secs=13441, mean=0.501751, stdev=0.017422, best fit=0.675100, best_overall=0.675100, mean_diversity=0.108678,
indivs=414218, elapsed_secs=13715, mean=0.478090, stdev=0.112051, best fit=0.675100, best_overall=0.675100, mean_diversity=0.263875,
indivs=424316, elapsed_secs=13973, mean=0.545862, stdev=0.073261, best fit=0.675100, best_overall=0.675100, mean_diversity=0.197104,
indivs=434414, elapsed_secs=14211, mean=0.549603, stdev=0.098436, best fit=0.675100, best_overall=0.675100, mean_diversity=0.200256,
indivs=444512, elapsed_secs=14459, mean=0.533475, stdev=0.069005, best fit=0.675600, best_overall=0.675600, mean_diversity=0.290387,
indivs=454610, elapsed_secs=14701, mean=0.592888, stdev=0.115683, best fit=0.675600, best_overall=0.675600, mean_diversity=0.285890,
indivs=464708, elapsed_secs=14965, mean=0.566815, stdev=0.116209, best fit=0.675600, best_overall=0.675600, mean_diversity=0.240618,
indivs=474806, elapsed_secs=15233, mean=0.525182, stdev=0.114886, best fit=0.675600, best_overall=0.675600, mean_diversity=0.315254,
indivs=484904, elapsed_secs=15499, mean=0.535417, stdev=0.112278, best fit=0.675600, best_overall=0.675600, mean_diversity=0.338608,
indivs=495002, elapsed_secs=15784, mean=0.594456, stdev=0.117546, best fit=0.675600, best_overall=0.675600, mean_diversity=0.150781,
indivs=505100, elapsed_secs=16036, mean=0.534461, stdev=0.069395, best fit=0.675600, best_overall=0.675600, mean_diversity=0.274702,
indivs=515198, elapsed_secs=16294, mean=0.455298, stdev=0.128520, best fit=0.675600, best_overall=0.675600, mean_diversity=0.172486,
indivs=525296, elapsed_secs=16544, mean=0.541366, stdev=0.109867, best fit=0.675600, best_overall=0.675600, mean_diversity=0.359033,
indivs=535394, elapsed_secs=16802, mean=0.547889, stdev=0.115966, best fit=0.675600, best_overall=0.675600, mean_diversity=0.225000,
indivs=545492, elapsed_secs=17080, mean=0.503523, stdev=0.131552, best fit=0.676400, best_overall=0.676400, mean_diversity=0.392135,
indivs=555590, elapsed_secs=17363, mean=0.613140, stdev=0.106964, best fit=0.676400, best_overall=0.676400, mean_diversity=0.157381,
indivs=565688, elapsed_secs=17640, mean=0.508678, stdev=0.112993, best fit=0.676400, best_overall=0.676400, mean_diversity=0.401492,
indivs=575786, elapsed_secs=17916, mean=0.597030, stdev=0.116330, best fit=0.676400, best_overall=0.676400, mean_diversity=0.162619,
indivs=585884, elapsed_secs=18190, mean=0.529868, stdev=0.103457, best fit=0.676400, best_overall=0.676400, mean_diversity=0.249896,
indivs=595982, elapsed_secs=18480, mean=0.492743, stdev=0.194344, best fit=0.676400, best_overall=0.676400, mean_diversity=0.337454,
indivs=606080, elapsed_secs=18770, mean=0.596623, stdev=0.118455, best fit=0.676400, best_overall=0.676400, mean_diversity=0.169391,
indivs=616178, elapsed_secs=19053, mean=0.570483, stdev=0.099674, best fit=0.676400, best_overall=0.676400, mean_diversity=0.251964,
indivs=626276, elapsed_secs=19342, mean=0.570859, stdev=0.097995, best fit=0.676400, best_overall=0.676400, mean_diversity=0.274118,
indivs=636374, elapsed_secs=19647, mean=0.550672, stdev=0.198728, best fit=0.676400, best_overall=0.676400, mean_diversity=0.201124,
indivs=646472, elapsed_secs=19951, mean=0.528489, stdev=0.098954, best fit=0.676400, best_overall=0.676400, mean_diversity=0.356953,
indivs=656570, elapsed_secs=20245, mean=0.500012, stdev=0.063166, best fit=0.676400, best_overall=0.676400, mean_diversity=0.114350,
indivs=666668, elapsed_secs=20535, mean=0.574597, stdev=0.082957, best fit=0.676400, best_overall=0.676400, mean_diversity=0.293832,
indivs=676766, elapsed_secs=20845, mean=0.539173, stdev=0.070726, best fit=0.676400, best_overall=0.676400, mean_diversity=0.414603,
indivs=686864, elapsed_secs=21099, mean=0.493248, stdev=0.074518, best fit=0.676400, best_overall=0.676400, mean_diversity=0.118718,
indivs=696962, elapsed_secs=21431, mean=0.530220, stdev=0.132335, best fit=0.676400, best_overall=0.676400, mean_diversity=0.418202,
indivs=707060, elapsed_secs=21719, mean=0.592161, stdev=0.104105, best fit=0.676400, best_overall=0.676400, mean_diversity=0.187986,
indivs=717158, elapsed_secs=22000, mean=0.479862, stdev=0.127728, best fit=0.676400, best_overall=0.676400, mean_diversity=0.211386,
indivs=727256, elapsed_secs=22286, mean=0.579267, stdev=0.084444, best fit=0.676400, best_overall=0.676400, mean_diversity=0.173577,
indivs=737354, elapsed_secs=22595, mean=0.572859, stdev=0.131721, best fit=0.676400, best_overall=0.676400, mean_diversity=0.181937,
indivs=747452, elapsed_secs=22886, mean=0.575987, stdev=0.129897, best fit=0.676400, best_overall=0.676400, mean_diversity=0.222288,
indivs=757550, elapsed_secs=23152, mean=0.548415, stdev=0.114175, best fit=0.676400, best_overall=0.676400, mean_diversity=0.344865,
indivs=767648, elapsed_secs=23450, mean=0.575762, stdev=0.129812, best fit=0.676400, best_overall=0.676400, mean_diversity=0.182562,
indivs=777746, elapsed_secs=23729, mean=0.522112, stdev=0.081585, best fit=0.676400, best_overall=0.676400, mean_diversity=0.289946,
indivs=787844, elapsed_secs=24012, mean=0.616610, stdev=0.096534, best fit=0.676400, best_overall=0.676400, mean_diversity=0.075884,
indivs=797942, elapsed_secs=24301, mean=0.530016, stdev=0.066307, best fit=0.676400, best_overall=0.676400, mean_diversity=0.516482,
indivs=808040, elapsed_secs=24577, mean=0.529937, stdev=0.092295, best fit=0.676400, best_overall=0.676400, mean_diversity=0.145041,
indivs=818138, elapsed_secs=24865, mean=0.516228, stdev=0.083618, best fit=0.676400, best_overall=0.676400, mean_diversity=0.324466,
indivs=828236, elapsed_secs=25165, mean=0.500193, stdev=0.082051, best fit=0.677600, best_overall=0.677600, mean_diversity=0.133556,
indivs=838334, elapsed_secs=25443, mean=0.466820, stdev=0.129286, best fit=0.677600, best_overall=0.677600, mean_diversity=0.138113,
indivs=848432, elapsed_secs=25732, mean=0.589641, stdev=0.103181, best fit=0.677600, best_overall=0.677600, mean_diversity=0.167972,
indivs=858530, elapsed_secs=25988, mean=0.482370, stdev=0.171937, best fit=0.677600, best_overall=0.677600, mean_diversity=0.237237,
indivs=868628, elapsed_secs=26258, mean=0.491318, stdev=0.091929, best fit=0.677600, best_overall=0.677600, mean_diversity=0.151487,
indivs=878726, elapsed_secs=26545, mean=0.511932, stdev=0.090744, best fit=0.677600, best_overall=0.677600, mean_diversity=0.281134,
indivs=888824, elapsed_secs=26808, mean=0.557479, stdev=0.081688, best fit=0.677600, best_overall=0.677600, mean_diversity=0.130872,
indivs=898922, elapsed_secs=27068, mean=0.582287, stdev=0.084577, best fit=0.677600, best_overall=0.677600, mean_diversity=0.147512,
indivs=909020, elapsed_secs=27365, mean=0.493482, stdev=0.074554, best fit=0.677600, best_overall=0.677600, mean_diversity=0.160493,
indivs=919118, elapsed_secs=27674, mean=0.546047, stdev=0.169601, best fit=0.677600, best_overall=0.677600, mean_diversity=0.331375,
indivs=929216, elapsed_secs=27973, mean=0.535887, stdev=0.068473, best fit=0.677600, best_overall=0.677600, mean_diversity=0.331786,
indivs=939314, elapsed_secs=28238, mean=0.540069, stdev=0.110801, best fit=0.677600, best_overall=0.677600, mean_diversity=0.285507,
indivs=949412, elapsed_secs=28507, mean=0.533750, stdev=0.088492, best fit=0.677600, best_overall=0.677600, mean_diversity=0.231137,
indivs=959510, elapsed_secs=28792, mean=0.558206, stdev=0.099662, best fit=0.677600, best_overall=0.677600, mean_diversity=0.242869,
indivs=969608, elapsed_secs=29090, mean=0.536613, stdev=0.090543, best fit=0.677600, best_overall=0.677600, mean_diversity=0.175528,
indivs=979706, elapsed_secs=29388, mean=0.550615, stdev=0.158943, best fit=0.677600, best_overall=0.677600, mean_diversity=0.181111,
indivs=989804, elapsed_secs=29664, mean=0.571575, stdev=0.154058, best fit=0.677600, best_overall=0.677600, mean_diversity=0.133208,
indivs=999902, elapsed_secs=29948, mean=0.519585, stdev=0.135799, best fit=0.677600, best_overall=0.677600, mean_diversity=0.178453,
indivs=1010000, elapsed_secs=30255, mean=0.521548, stdev=0.113487, best fit=0.677600, best_overall=0.677600, mean_diversity=0.303577,
indivs=1020098, elapsed_secs=30522, mean=0.562629, stdev=0.129756, best fit=0.677600, best_overall=0.677600, mean_diversity=0.197923,
indivs=1030196, elapsed_secs=30799, mean=0.541609, stdev=0.138484, best fit=0.677600, best_overall=0.677600, mean_diversity=0.278179,
indivs=1040294, elapsed_secs=31075, mean=0.615087, stdev=0.077208, best fit=0.677600, best_overall=0.677600, mean_diversity=0.095897,
indivs=1050392, elapsed_secs=31351, mean=0.545999, stdev=0.107977, best fit=0.677600, best_overall=0.677600, mean_diversity=0.201357,
indivs=1060490, elapsed_secs=31613, mean=0.552259, stdev=0.078335, best fit=0.677600, best_overall=0.677600, mean_diversity=0.223581,
indivs=1070588, elapsed_secs=31900, mean=0.491434, stdev=0.108620, best fit=0.677600, best_overall=0.677600, mean_diversity=0.146981,
indivs=1080686, elapsed_secs=32161, mean=0.583218, stdev=0.116576, best fit=0.677600, best_overall=0.677600, mean_diversity=0.096397,
indivs=1090784, elapsed_secs=32452, mean=0.516913, stdev=0.077099, best fit=0.677600, best_overall=0.677600, mean_diversity=0.300697,
indivs=1100882, elapsed_secs=32728, mean=0.519264, stdev=0.078575, best fit=0.677600, best_overall=0.677600, mean_diversity=0.265935,
indivs=1110980, elapsed_secs=32989, mean=0.564548, stdev=0.174100, best fit=0.677600, best_overall=0.677600, mean_diversity=0.158108,
indivs=1121078, elapsed_secs=33267, mean=0.511545, stdev=0.042137, best fit=0.677600, best_overall=0.677600, mean_diversity=0.128815,
indivs=1131176, elapsed_secs=33567, mean=0.497705, stdev=0.081684, best fit=0.677600, best_overall=0.677600, mean_diversity=0.228536,
indivs=1141274, elapsed_secs=33851, mean=0.561725, stdev=0.114910, best fit=0.677600, best_overall=0.677600, mean_diversity=0.299561,
indivs=1151372, elapsed_secs=34121, mean=0.578658, stdev=0.102952, best fit=0.677600, best_overall=0.677600, mean_diversity=0.154816,
indivs=1161470, elapsed_secs=34391, mean=0.584982, stdev=0.102682, best fit=0.677600, best_overall=0.677600, mean_diversity=0.113302,
indivs=1171568, elapsed_secs=34680, mean=0.490206, stdev=0.191028, best fit=0.677600, best_overall=0.677600, mean_diversity=0.194102,
indivs=1181666, elapsed_secs=34954, mean=0.566711, stdev=0.081374, best fit=0.677600, best_overall=0.677600, mean_diversity=0.182849,
indivs=1191764, elapsed_secs=35217, mean=0.541379, stdev=0.114896, best fit=0.677600, best_overall=0.677600, mean_diversity=0.270460,
indivs=1201862, elapsed_secs=35491, mean=0.498054, stdev=0.060070, best fit=0.677600, best_overall=0.677600, mean_diversity=0.224979,
indivs=1211960, elapsed_secs=35749, mean=0.503465, stdev=0.024263, best fit=0.677600, best_overall=0.677600, mean_diversity=0.116404,
indivs=1222058, elapsed_secs=36072, mean=0.489727, stdev=0.108462, best fit=0.677600, best_overall=0.677600, mean_diversity=0.178781,
indivs=1232156, elapsed_secs=36337, mean=0.511406, stdev=0.093398, best fit=0.677600, best_overall=0.677600, mean_diversity=0.270526,
indivs=1242254, elapsed_secs=36661, mean=0.561433, stdev=0.097110, best fit=0.677600, best_overall=0.677600, mean_diversity=0.126329,
indivs=1252352, elapsed_secs=36949, mean=0.589624, stdev=0.083110, best fit=0.677600, best_overall=0.677600, mean_diversity=0.142557,
indivs=1262450, elapsed_secs=37227, mean=0.561909, stdev=0.132026, best fit=0.677600, best_overall=0.677600, mean_diversity=0.216817,
indivs=1272548, elapsed_secs=37503, mean=0.574799, stdev=0.102097, best fit=0.677600, best_overall=0.677600, mean_diversity=0.121946,
indivs=1282646, elapsed_secs=37798, mean=0.558926, stdev=0.140574, best fit=0.677600, best_overall=0.677600, mean_diversity=0.132659,
Experiment done. Retrieving candidate algorithm.
Search fitness for candidate algorithm = 0.677600
Evaluating candidate algorithm from experiment (on T_select tasks)... 
Select fitness for candidate algorithm = 0.664600
Select fitness is the best so far. 

Final evaluation of best algorithm (on unseen tasks)...
Final evaluation fitness (on unseen data) = 0.661490
Algorithm found: 
def Setup():
  s1 = -0.46694
  v2 = uniform(0.923931, -0.705835, n_features)
  s4 = uniform(-0.926199, -0.413819)
  s2 = uniform(-0.853583, 0.572221)
def Predict():
  v6 = maximum(v0, v1)
  v4 = dot(m1, v3)
  v7 = v7 + v3
  v3 = v2 + v5
  v4 = maximum(v1, v8)
  v3 = v8 + v2
  v8 = v0 + v2
  s1 = dot(v8, v7)
  v3 = maximum(v1, v1)
def Learn():
  v5 = s1 * v8
  s1 = s2 * s4
  v1 = v8 * v3
  v8 = v4 + v1
  v1 = s1 * v0
  v3 = s0 * v0
  v8 = v5 * v0
  v2 = s3 * v7
  v5 = v1 * v1
  m1 = m1 + m1
  v4 = v0 * v1
  v8 = s2 * v4
  m0 = outer(v3, v6)

