Random seed = 2459525648
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:20644
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 3987259926
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:45977
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 1826113080
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:37979
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 1188829872
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:59752
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 1409918488
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:39337
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=29, mean=0.501959, stdev=0.010376, best fit=0.556400, best_overall=0.556400, mean_diversity=0.286578,
inserting algs with evol id: 39337
50 algorithms migrated
indivs=20396, elapsed_secs=41, mean=0.503905, stdev=0.055928, best fit=0.668900, best_overall=0.668900, mean_diversity=0.435608,
indivs=30494, elapsed_secs=55, mean=0.511446, stdev=0.069990, best fit=0.669000, best_overall=0.669000, mean_diversity=0.271996,
indivs=40592, elapsed_secs=71, mean=0.552697, stdev=0.140929, best fit=0.669100, best_overall=0.669100, mean_diversity=0.188436,
indivs=50690, elapsed_secs=88, mean=0.518680, stdev=0.048861, best fit=0.669100, best_overall=0.669100, mean_diversity=0.368866,
indivs=60788, elapsed_secs=105, mean=0.505343, stdev=0.087925, best fit=0.669100, best_overall=0.669100, mean_diversity=0.345576,
indivs=70886, elapsed_secs=121, mean=0.510843, stdev=0.041765, best fit=0.669100, best_overall=0.669100, mean_diversity=0.246661,
indivs=80984, elapsed_secs=141, mean=0.487629, stdev=0.146279, best fit=0.669300, best_overall=0.669300, mean_diversity=0.223219,
indivs=91082, elapsed_secs=163, mean=0.494532, stdev=0.128331, best fit=0.670200, best_overall=0.670200, mean_diversity=0.410078,
indivs=101180, elapsed_secs=184, mean=0.493523, stdev=0.142806, best fit=0.671100, best_overall=0.671100, mean_diversity=0.261655,
indivs=111278, elapsed_secs=204, mean=0.550438, stdev=0.168609, best fit=0.671100, best_overall=0.671100, mean_diversity=0.149966,
indivs=121376, elapsed_secs=224, mean=0.421475, stdev=0.129728, best fit=0.671100, best_overall=0.671100, mean_diversity=0.069635,
indivs=131474, elapsed_secs=245, mean=0.560995, stdev=0.130983, best fit=0.671100, best_overall=0.671100, mean_diversity=0.160662,
indivs=141572, elapsed_secs=262, mean=0.494666, stdev=0.205923, best fit=0.671100, best_overall=0.671100, mean_diversity=0.229587,
indivs=151670, elapsed_secs=282, mean=0.560943, stdev=0.128815, best fit=0.671400, best_overall=0.671400, mean_diversity=0.387591,
indivs=161768, elapsed_secs=300, mean=0.506480, stdev=0.156593, best fit=0.671900, best_overall=0.671900, mean_diversity=0.273553,
indivs=171866, elapsed_secs=322, mean=0.499650, stdev=0.129161, best fit=0.671900, best_overall=0.671900, mean_diversity=0.253151,
indivs=181964, elapsed_secs=340, mean=0.554871, stdev=0.151045, best fit=0.671900, best_overall=0.671900, mean_diversity=0.215388,
indivs=192062, elapsed_secs=360, mean=0.547820, stdev=0.131181, best fit=0.671900, best_overall=0.671900, mean_diversity=0.253786,
indivs=202160, elapsed_secs=379, mean=0.519594, stdev=0.181538, best fit=0.671900, best_overall=0.671900, mean_diversity=0.159330,
