Random seed = 2459879165
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:30863
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 3992596179
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:34856
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 1826105738
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:17014
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 1193139225
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:71909
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Random seed = 1415807892
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
evol_id:16290
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/parallel_full_qdupdate.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=21, mean=0.505308, stdev=0.022010, best fit=0.590400, best_overall=0.590400, mean_diversity=0.301186,
indivs=20396, elapsed_secs=35, mean=0.524514, stdev=0.057295, best fit=0.614200, best_overall=0.614200, mean_diversity=0.138454,
indivs=30494, elapsed_secs=49, mean=0.517824, stdev=0.019643, best fit=0.614200, best_overall=0.614200, mean_diversity=0.331770,
indivs=40592, elapsed_secs=61, mean=0.502543, stdev=0.012784, best fit=0.614200, best_overall=0.614200, mean_diversity=0.121247,
indivs=50690, elapsed_secs=77, mean=0.529600, stdev=0.064355, best fit=0.685700, best_overall=0.685700, mean_diversity=0.232035,
indivs=60788, elapsed_secs=96, mean=0.645796, stdev=0.178483, best fit=0.873500, best_overall=0.873500, mean_diversity=0.374741,
indivs=70886, elapsed_secs=113, mean=0.702804, stdev=0.226868, best fit=0.873500, best_overall=0.873500, mean_diversity=0.138647,
indivs=80984, elapsed_secs=131, mean=0.659903, stdev=0.085006, best fit=0.873500, best_overall=0.873500, mean_diversity=0.118683,
indivs=91082, elapsed_secs=146, mean=0.747135, stdev=0.161926, best fit=0.873700, best_overall=0.873700, mean_diversity=0.118599,
indivs=101180, elapsed_secs=162, mean=0.539673, stdev=0.138905, best fit=0.873700, best_overall=0.873700, mean_diversity=0.150573,
indivs=111278, elapsed_secs=181, mean=0.554627, stdev=0.178615, best fit=0.873700, best_overall=0.873700, mean_diversity=0.422115,
indivs=121376, elapsed_secs=193, mean=0.537524, stdev=0.149455, best fit=0.873700, best_overall=0.873700, mean_diversity=0.300935,
inserting algs with evol id: 16290
50 algorithms migrated
indivs=131474, elapsed_secs=209, mean=0.732732, stdev=0.222482, best fit=0.873700, best_overall=0.873700, mean_diversity=0.275922,
indivs=141572, elapsed_secs=231, mean=0.701187, stdev=0.235449, best fit=0.873700, best_overall=0.873700, mean_diversity=0.233676,
indivs=151670, elapsed_secs=254, mean=0.632019, stdev=0.265668, best fit=0.873700, best_overall=0.873700, mean_diversity=0.197669,
indivs=161768, elapsed_secs=273, mean=0.743545, stdev=0.198500, best fit=0.873700, best_overall=0.873700, mean_diversity=0.161253,
indivs=171866, elapsed_secs=299, mean=0.700949, stdev=0.196933, best fit=0.873700, best_overall=0.873700, mean_diversity=0.171581,
indivs=181964, elapsed_secs=325, mean=0.548876, stdev=0.213932, best fit=0.873700, best_overall=0.873700, mean_diversity=0.250162,
indivs=192062, elapsed_secs=347, mean=0.539887, stdev=0.188621, best fit=0.873700, best_overall=0.873700, mean_diversity=0.308567,
inserting algs with evol id: 16290
50 algorithms migrated
inserting algs with evol id: 16290
50 algorithms migrated
indivs=202160, elapsed_secs=361, mean=0.749888, stdev=0.213485, best fit=0.899400, best_overall=0.899400, mean_diversity=0.110643,
indivs=212258, elapsed_secs=371, mean=0.735448, stdev=0.170061, best fit=0.900300, best_overall=0.900300, mean_diversity=0.142031,
indivs=222356, elapsed_secs=380, mean=0.737729, stdev=0.157532, best fit=0.900300, best_overall=0.900300, mean_diversity=0.154640,
indivs=232454, elapsed_secs=391, mean=0.773991, stdev=0.171197, best fit=0.900300, best_overall=0.900300, mean_diversity=0.085977,
indivs=242552, elapsed_secs=399, mean=0.611862, stdev=0.273915, best fit=0.900300, best_overall=0.900300, mean_diversity=0.254986,
indivs=252650, elapsed_secs=408, mean=0.731677, stdev=0.190112, best fit=0.900300, best_overall=0.900300, mean_diversity=0.208429,
indivs=262748, elapsed_secs=418, mean=0.735476, stdev=0.170949, best fit=0.900300, best_overall=0.900300, mean_diversity=0.159827,
indivs=272846, elapsed_secs=428, mean=0.712785, stdev=0.248782, best fit=0.900300, best_overall=0.900300, mean_diversity=0.226026,
inserting algs with evol id: 16290
50 algorithms migrated
indivs=282944, elapsed_secs=436, mean=0.709533, stdev=0.208133, best fit=0.900300, best_overall=0.900300, mean_diversity=0.234888,
inserting algs with evol id: 16290
50 algorithms migrated
indivs=293042, elapsed_secs=441, mean=0.481865, stdev=0.105935, best fit=0.900300, best_overall=0.900300, mean_diversity=0.107563,
indivs=303140, elapsed_secs=445, mean=0.504023, stdev=0.039828, best fit=0.900300, best_overall=0.900300, mean_diversity=0.235478,
indivs=313238, elapsed_secs=449, mean=0.504003, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.163380,
indivs=323336, elapsed_secs=454, mean=0.448932, stdev=0.162771, best fit=0.900300, best_overall=0.900300, mean_diversity=0.200684,
indivs=333434, elapsed_secs=461, mean=0.493999, stdev=0.081033, best fit=0.900300, best_overall=0.900300, mean_diversity=0.147649,
indivs=343532, elapsed_secs=465, mean=0.490776, stdev=0.096636, best fit=0.900300, best_overall=0.900300, mean_diversity=0.208290,
indivs=353630, elapsed_secs=471, mean=0.503003, stdev=0.041151, best fit=0.900300, best_overall=0.900300, mean_diversity=0.223811,
indivs=363728, elapsed_secs=476, mean=0.483008, stdev=0.118888, best fit=0.900300, best_overall=0.900300, mean_diversity=0.332525,
indivs=373826, elapsed_secs=480, mean=0.498476, stdev=0.064227, best fit=0.900300, best_overall=0.900300, mean_diversity=0.176841,
indivs=383924, elapsed_secs=484, mean=0.499957, stdev=0.056592, best fit=0.900300, best_overall=0.900300, mean_diversity=0.289239,
indivs=394022, elapsed_secs=489, mean=0.504012, stdev=0.039828, best fit=0.900300, best_overall=0.900300, mean_diversity=0.399091,
indivs=404120, elapsed_secs=492, mean=0.459015, stdev=0.149742, best fit=0.900300, best_overall=0.900300, mean_diversity=0.241410,
indivs=414218, elapsed_secs=497, mean=0.502705, stdev=0.040883, best fit=0.900300, best_overall=0.900300, mean_diversity=0.245409,
indivs=424316, elapsed_secs=502, mean=0.500947, stdev=0.065019, best fit=0.900300, best_overall=0.900300, mean_diversity=0.219623,
indivs=434414, elapsed_secs=506, mean=0.499003, stdev=0.064042, best fit=0.900300, best_overall=0.900300, mean_diversity=0.308289,
indivs=444512, elapsed_secs=512, mean=0.520847, stdev=0.098009, best fit=0.900300, best_overall=0.900300, mean_diversity=0.250069,
indivs=454610, elapsed_secs=518, mean=0.499487, stdev=0.060226, best fit=0.900300, best_overall=0.900300, mean_diversity=0.228834,
indivs=464708, elapsed_secs=523, mean=0.474003, stdev=0.126200, best fit=0.900300, best_overall=0.900300, mean_diversity=0.296655,
indivs=474806, elapsed_secs=527, mean=0.503969, stdev=0.039834, best fit=0.900300, best_overall=0.900300, mean_diversity=0.310942,
indivs=484904, elapsed_secs=531, mean=0.494003, stdev=0.081034, best fit=0.900300, best_overall=0.900300, mean_diversity=0.258368,
indivs=495002, elapsed_secs=535, mean=0.502503, stdev=0.042675, best fit=0.900300, best_overall=0.900300, mean_diversity=0.130991,
indivs=505100, elapsed_secs=540, mean=0.492077, stdev=0.081482, best fit=0.900300, best_overall=0.900300, mean_diversity=0.232418,
indivs=515198, elapsed_secs=557, mean=0.494503, stdev=0.066311, best fit=0.900300, best_overall=0.900300, mean_diversity=0.248767,
indivs=525296, elapsed_secs=561, mean=0.502064, stdev=0.041811, best fit=0.900300, best_overall=0.900300, mean_diversity=0.070710,
indivs=535394, elapsed_secs=566, mean=0.483502, stdev=0.058784, best fit=0.900300, best_overall=0.900300, mean_diversity=0.048412,
indivs=545492, elapsed_secs=571, mean=0.493505, stdev=0.081148, best fit=0.900300, best_overall=0.900300, mean_diversity=0.234394,
indivs=555590, elapsed_secs=576, mean=0.478995, stdev=0.116881, best fit=0.900300, best_overall=0.900300, mean_diversity=0.118439,
indivs=565688, elapsed_secs=580, mean=0.504003, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.288993,
indivs=575786, elapsed_secs=585, mean=0.492568, stdev=0.051106, best fit=0.900300, best_overall=0.900300, mean_diversity=0.274493,
indivs=585884, elapsed_secs=589, mean=0.481472, stdev=0.105162, best fit=0.900300, best_overall=0.900300, mean_diversity=0.534250,
indivs=595982, elapsed_secs=594, mean=0.504003, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.114220,
indivs=606080, elapsed_secs=597, mean=0.477320, stdev=0.098063, best fit=0.900300, best_overall=0.900300, mean_diversity=0.315573,
indivs=616178, elapsed_secs=601, mean=0.494006, stdev=0.081034, best fit=0.900300, best_overall=0.900300, mean_diversity=0.365936,
indivs=626276, elapsed_secs=606, mean=0.504003, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.360915,
indivs=636374, elapsed_secs=611, mean=0.540844, stdev=0.064344, best fit=0.900300, best_overall=0.900300, mean_diversity=0.431273,
indivs=646472, elapsed_secs=617, mean=0.481503, stdev=0.107635, best fit=0.900300, best_overall=0.900300, mean_diversity=0.295572,
indivs=656570, elapsed_secs=621, mean=0.454003, stdev=0.156482, best fit=0.900300, best_overall=0.900300, mean_diversity=0.160017,
indivs=666668, elapsed_secs=626, mean=0.498043, stdev=0.064379, best fit=0.900300, best_overall=0.900300, mean_diversity=0.324858,
indivs=676766, elapsed_secs=631, mean=0.450445, stdev=0.158972, best fit=0.900300, best_overall=0.900300, mean_diversity=0.227516,
indivs=686864, elapsed_secs=635, mean=0.499003, stdev=0.064042, best fit=0.900300, best_overall=0.900300, mean_diversity=0.206718,
indivs=696962, elapsed_secs=639, mean=0.498506, stdev=0.064227, best fit=0.900300, best_overall=0.900300, mean_diversity=0.404398,
indivs=707060, elapsed_secs=644, mean=0.518803, stdev=0.048691, best fit=0.900300, best_overall=0.900300, mean_diversity=0.343933,
indivs=717158, elapsed_secs=650, mean=0.504003, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.140490,
indivs=727256, elapsed_secs=655, mean=0.499003, stdev=0.064042, best fit=0.900300, best_overall=0.900300, mean_diversity=0.283333,
indivs=737354, elapsed_secs=660, mean=0.504002, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.197725,
indivs=747452, elapsed_secs=669, mean=0.504146, stdev=0.077955, best fit=0.900300, best_overall=0.900300, mean_diversity=0.199158,
indivs=757550, elapsed_secs=675, mean=0.498995, stdev=0.064042, best fit=0.900300, best_overall=0.900300, mean_diversity=0.197168,
indivs=767648, elapsed_secs=680, mean=0.498924, stdev=0.064374, best fit=0.900300, best_overall=0.900300, mean_diversity=0.164287,
indivs=777746, elapsed_secs=684, mean=0.534978, stdev=0.075968, best fit=0.900300, best_overall=0.900300, mean_diversity=0.273597,
indivs=787844, elapsed_secs=690, mean=0.479006, stdev=0.116883, best fit=0.900300, best_overall=0.900300, mean_diversity=0.124298,
indivs=797942, elapsed_secs=695, mean=0.475079, stdev=0.126532, best fit=0.900300, best_overall=0.900300, mean_diversity=0.226261,
indivs=808040, elapsed_secs=700, mean=0.503503, stdev=0.040189, best fit=0.900300, best_overall=0.900300, mean_diversity=0.416012,
indivs=818138, elapsed_secs=704, mean=0.504003, stdev=0.039829, best fit=0.900300, best_overall=0.900300, mean_diversity=0.119002,
indivs=828236, elapsed_secs=709, mean=0.499003, stdev=0.064042, best fit=0.900300, best_overall=0.900300, mean_diversity=0.120726,
indivs=838334, elapsed_secs=713, mean=0.486003, stdev=0.096729, best fit=0.900300, best_overall=0.900300, mean_diversity=0.117753,
indivs=848432, elapsed_secs=718, mean=0.502003, stdev=0.044703, best fit=0.900300, best_overall=0.900300, mean_diversity=0.337992,
indivs=858530, elapsed_secs=723, mean=0.447179, stdev=0.190050, best fit=0.900300, best_overall=0.900300, mean_diversity=0.367783,
indivs=868628, elapsed_secs=728, mean=0.489003, stdev=0.094771, best fit=0.900300, best_overall=0.900300, mean_diversity=0.120169,
indivs=878726, elapsed_secs=734, mean=0.498503, stdev=0.064227, best fit=0.900300, best_overall=0.900300, mean_diversity=0.346822,
indivs=888824, elapsed_secs=737, mean=0.491004, stdev=0.063012, best fit=0.900300, best_overall=0.900300, mean_diversity=0.336777,
indivs=898922, elapsed_secs=745, mean=0.599978, stdev=0.161604, best fit=0.900300, best_overall=0.900300, mean_diversity=0.507643,
indivs=909020, elapsed_secs=759, mean=0.483993, stdev=0.106518, best fit=0.900300, best_overall=0.900300, mean_diversity=0.458009,
indivs=919118, elapsed_secs=765, mean=0.503003, stdev=0.041151, best fit=0.900300, best_overall=0.900300, mean_diversity=0.381956,
indivs=929216, elapsed_secs=771, mean=0.459503, stdev=0.066614, best fit=0.900300, best_overall=0.900300, mean_diversity=0.106000,
indivs=939314, elapsed_secs=775, mean=0.493003, stdev=0.081569, best fit=0.900300, best_overall=0.900300, mean_diversity=0.134754,
indivs=949412, elapsed_secs=779, mean=0.503995, stdev=0.039830, best fit=0.900300, best_overall=0.900300, mean_diversity=0.267549,
