Random seed = 678526565
/p/work/rditljtd/automl_zero/baseline.db3
evol_id:35754
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=1, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=114, mean=0.494812, stdev=0.070765, best fit=0.510700, best_overall=0.510700, mean_diversity=0.157715,
indivs=20396, elapsed_secs=337, mean=0.534077, stdev=0.090965, best fit=0.589400, best_overall=0.589400, mean_diversity=0.201449,
indivs=30494, elapsed_secs=569, mean=0.574449, stdev=0.188541, best fit=0.682100, best_overall=0.682100, mean_diversity=0.143483,
indivs=40592, elapsed_secs=897, mean=0.604523, stdev=0.163461, best fit=0.684900, best_overall=0.684900, mean_diversity=0.180676,
indivs=50690, elapsed_secs=1153, mean=0.602939, stdev=0.162571, best fit=0.684900, best_overall=0.684900, mean_diversity=0.240204,
indivs=60788, elapsed_secs=1445, mean=0.621629, stdev=0.156592, best fit=0.684900, best_overall=0.684900, mean_diversity=0.308684,
indivs=70886, elapsed_secs=1728, mean=0.610267, stdev=0.139702, best fit=0.684900, best_overall=0.684900, mean_diversity=0.184532,
indivs=80984, elapsed_secs=2012, mean=0.595788, stdev=0.189033, best fit=0.684900, best_overall=0.684900, mean_diversity=0.153686,
indivs=91082, elapsed_secs=2321, mean=0.612962, stdev=0.152759, best fit=0.684900, best_overall=0.684900, mean_diversity=0.147889,
indivs=101180, elapsed_secs=2650, mean=0.592026, stdev=0.151821, best fit=0.684900, best_overall=0.684900, mean_diversity=0.185668,
indivs=111278, elapsed_secs=2958, mean=0.561400, stdev=0.228818, best fit=0.684900, best_overall=0.684900, mean_diversity=0.117657,
indivs=121376, elapsed_secs=3264, mean=0.620781, stdev=0.132779, best fit=0.684900, best_overall=0.684900, mean_diversity=0.222379,
indivs=131474, elapsed_secs=3543, mean=0.633038, stdev=0.130538, best fit=0.684900, best_overall=0.684900, mean_diversity=0.133286,
indivs=141572, elapsed_secs=3711, mean=0.609370, stdev=0.173815, best fit=0.684900, best_overall=0.684900, mean_diversity=0.213374,
indivs=151670, elapsed_secs=4010, mean=0.621954, stdev=0.137263, best fit=0.684900, best_overall=0.684900, mean_diversity=0.212616,
indivs=161768, elapsed_secs=4318, mean=0.601549, stdev=0.180401, best fit=0.684900, best_overall=0.684900, mean_diversity=0.150893,
