Random seed = 679994836
/p/work/rditljtd/automl_zero/baseline_full.db3
evol_id:82713
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10219, elapsed_secs=15, mean=0.530531, stdev=0.023546, best fit=0.569200, best_overall=0.569200, mean_diversity=0.166465,
indivs=20244, elapsed_secs=21, mean=0.540218, stdev=0.026631, best fit=0.577200, best_overall=0.577200, mean_diversity=0.130952,
indivs=30295, elapsed_secs=28, mean=0.529588, stdev=0.025450, best fit=0.577200, best_overall=0.577200, mean_diversity=0.250887,
indivs=40336, elapsed_secs=33, mean=0.529433, stdev=0.028274, best fit=0.577200, best_overall=0.577200, mean_diversity=0.262818,
indivs=50472, elapsed_secs=42, mean=0.537157, stdev=0.029577, best fit=0.577200, best_overall=0.577200, mean_diversity=0.194855,
indivs=60581, elapsed_secs=49, mean=0.534802, stdev=0.026640, best fit=0.577200, best_overall=0.577200, mean_diversity=0.185000,
indivs=70705, elapsed_secs=56, mean=0.540235, stdev=0.028642, best fit=0.577200, best_overall=0.577200, mean_diversity=0.190108,
indivs=80711, elapsed_secs=63, mean=0.608378, stdev=0.076967, best fit=0.669000, best_overall=0.669000, mean_diversity=0.248341,
indivs=90795, elapsed_secs=68, mean=0.626947, stdev=0.092381, best fit=0.669300, best_overall=0.669300, mean_diversity=0.212794,
indivs=100841, elapsed_secs=74, mean=0.636824, stdev=0.087615, best fit=0.669300, best_overall=0.669300, mean_diversity=0.220042,
indivs=110871, elapsed_secs=81, mean=0.614862, stdev=0.087890, best fit=0.669300, best_overall=0.669300, mean_diversity=0.164732,
indivs=120907, elapsed_secs=85, mean=0.584722, stdev=0.048638, best fit=0.670100, best_overall=0.670100, mean_diversity=0.184409,
indivs=130954, elapsed_secs=91, mean=0.600262, stdev=0.063604, best fit=0.670100, best_overall=0.670100, mean_diversity=0.177572,
indivs=141071, elapsed_secs=98, mean=0.600644, stdev=0.142886, best fit=0.670100, best_overall=0.670100, mean_diversity=0.259965,
indivs=151215, elapsed_secs=107, mean=0.610148, stdev=0.075659, best fit=0.670100, best_overall=0.670100, mean_diversity=0.175452,
indivs=161265, elapsed_secs=118, mean=0.626853, stdev=0.080754, best fit=0.670400, best_overall=0.670400, mean_diversity=0.223824,
indivs=171269, elapsed_secs=128, mean=0.605353, stdev=0.051290, best fit=0.670400, best_overall=0.670400, mean_diversity=0.169451,
indivs=181363, elapsed_secs=137, mean=0.623269, stdev=0.071667, best fit=0.670400, best_overall=0.670400, mean_diversity=0.132490,
indivs=191401, elapsed_secs=149, mean=0.585436, stdev=0.085197, best fit=0.670400, best_overall=0.670400, mean_diversity=0.136482,
indivs=201493, elapsed_secs=158, mean=0.626791, stdev=0.073155, best fit=0.670400, best_overall=0.670400, mean_diversity=0.162920,
indivs=211566, elapsed_secs=175, mean=0.582920, stdev=0.100615, best fit=0.672500, best_overall=0.672500, mean_diversity=0.161804,
indivs=221732, elapsed_secs=188, mean=0.631347, stdev=0.069591, best fit=0.672500, best_overall=0.672500, mean_diversity=0.088432,
indivs=231812, elapsed_secs=200, mean=0.612611, stdev=0.089029, best fit=0.672500, best_overall=0.672500, mean_diversity=0.221106,
indivs=241939, elapsed_secs=216, mean=0.603784, stdev=0.092230, best fit=0.672500, best_overall=0.672500, mean_diversity=0.199124,
indivs=252012, elapsed_secs=228, mean=0.646457, stdev=0.058622, best fit=0.672500, best_overall=0.672500, mean_diversity=0.262659,
indivs=262137, elapsed_secs=242, mean=0.605535, stdev=0.099660, best fit=0.672500, best_overall=0.672500, mean_diversity=0.123991,
indivs=272139, elapsed_secs=254, mean=0.609012, stdev=0.110540, best fit=0.672500, best_overall=0.672500, mean_diversity=0.095481,
indivs=282172, elapsed_secs=272, mean=0.601050, stdev=0.076882, best fit=0.672900, best_overall=0.672900, mean_diversity=0.095348,
indivs=292243, elapsed_secs=292, mean=0.605885, stdev=0.115740, best fit=0.672900, best_overall=0.672900, mean_diversity=0.151197,
indivs=302278, elapsed_secs=310, mean=0.625247, stdev=0.071566, best fit=0.672900, best_overall=0.672900, mean_diversity=0.166979,
indivs=312335, elapsed_secs=327, mean=0.616480, stdev=0.075283, best fit=0.673400, best_overall=0.673400, mean_diversity=0.103150,
indivs=322505, elapsed_secs=343, mean=0.634083, stdev=0.086521, best fit=0.673400, best_overall=0.673400, mean_diversity=0.290128,
indivs=332613, elapsed_secs=358, mean=0.613260, stdev=0.085700, best fit=0.673400, best_overall=0.673400, mean_diversity=0.194778,
indivs=342713, elapsed_secs=373, mean=0.617817, stdev=0.076049, best fit=0.673400, best_overall=0.673400, mean_diversity=0.192948,
indivs=352867, elapsed_secs=390, mean=0.622838, stdev=0.094583, best fit=0.674100, best_overall=0.674100, mean_diversity=0.277835,
indivs=362917, elapsed_secs=406, mean=0.595269, stdev=0.088484, best fit=0.674100, best_overall=0.674100, mean_diversity=0.161830,
indivs=373032, elapsed_secs=423, mean=0.616887, stdev=0.113516, best fit=0.674100, best_overall=0.674100, mean_diversity=0.114857,
indivs=383045, elapsed_secs=437, mean=0.595405, stdev=0.100582, best fit=0.674100, best_overall=0.674100, mean_diversity=0.166506,
indivs=393139, elapsed_secs=453, mean=0.610006, stdev=0.069506, best fit=0.674100, best_overall=0.674100, mean_diversity=0.247578,
indivs=403269, elapsed_secs=468, mean=0.595933, stdev=0.111575, best fit=0.674100, best_overall=0.674100, mean_diversity=0.166450,
indivs=413312, elapsed_secs=486, mean=0.592606, stdev=0.105709, best fit=0.674100, best_overall=0.674100, mean_diversity=0.124118,
indivs=423437, elapsed_secs=503, mean=0.623771, stdev=0.070985, best fit=0.674100, best_overall=0.674100, mean_diversity=0.193636,
indivs=433482, elapsed_secs=518, mean=0.604195, stdev=0.115810, best fit=0.674100, best_overall=0.674100, mean_diversity=0.141610,
indivs=443573, elapsed_secs=535, mean=0.626873, stdev=0.069547, best fit=0.674100, best_overall=0.674100, mean_diversity=0.160538,
indivs=453709, elapsed_secs=551, mean=0.614300, stdev=0.096541, best fit=0.674100, best_overall=0.674100, mean_diversity=0.128319,
indivs=463820, elapsed_secs=566, mean=0.623834, stdev=0.076673, best fit=0.674100, best_overall=0.674100, mean_diversity=0.259658,
indivs=473910, elapsed_secs=582, mean=0.606289, stdev=0.076145, best fit=0.674100, best_overall=0.674100, mean_diversity=0.173255,
indivs=483983, elapsed_secs=599, mean=0.622582, stdev=0.079466, best fit=0.674100, best_overall=0.674100, mean_diversity=0.170695,
indivs=494078, elapsed_secs=614, mean=0.616735, stdev=0.063901, best fit=0.674100, best_overall=0.674100, mean_diversity=0.213720,
indivs=504206, elapsed_secs=627, mean=0.603467, stdev=0.114858, best fit=0.674100, best_overall=0.674100, mean_diversity=0.221561,
indivs=514238, elapsed_secs=643, mean=0.604223, stdev=0.098342, best fit=0.674100, best_overall=0.674100, mean_diversity=0.125642,
indivs=524396, elapsed_secs=663, mean=0.623666, stdev=0.072462, best fit=0.674100, best_overall=0.674100, mean_diversity=0.162155,
indivs=534501, elapsed_secs=683, mean=0.600615, stdev=0.060049, best fit=0.674100, best_overall=0.674100, mean_diversity=0.156426,
indivs=544580, elapsed_secs=697, mean=0.624815, stdev=0.057917, best fit=0.674900, best_overall=0.674900, mean_diversity=0.084489,
indivs=554611, elapsed_secs=711, mean=0.608949, stdev=0.049099, best fit=0.674900, best_overall=0.674900, mean_diversity=0.334331,
indivs=564734, elapsed_secs=726, mean=0.612417, stdev=0.112942, best fit=0.674900, best_overall=0.674900, mean_diversity=0.217882,
indivs=574738, elapsed_secs=741, mean=0.607038, stdev=0.058644, best fit=0.674900, best_overall=0.674900, mean_diversity=0.149575,
indivs=584913, elapsed_secs=758, mean=0.612766, stdev=0.114876, best fit=0.674900, best_overall=0.674900, mean_diversity=0.131667,
indivs=595018, elapsed_secs=772, mean=0.612329, stdev=0.077879, best fit=0.674900, best_overall=0.674900, mean_diversity=0.169483,
indivs=605136, elapsed_secs=788, mean=0.601310, stdev=0.088165, best fit=0.674900, best_overall=0.674900, mean_diversity=0.256884,
indivs=615184, elapsed_secs=808, mean=0.639005, stdev=0.069822, best fit=0.674900, best_overall=0.674900, mean_diversity=0.122500,
indivs=625223, elapsed_secs=822, mean=0.605168, stdev=0.118179, best fit=0.674900, best_overall=0.674900, mean_diversity=0.201184,
indivs=635338, elapsed_secs=838, mean=0.613260, stdev=0.070932, best fit=0.674900, best_overall=0.674900, mean_diversity=0.156697,
indivs=645353, elapsed_secs=853, mean=0.601112, stdev=0.104165, best fit=0.674900, best_overall=0.674900, mean_diversity=0.106464,
indivs=655493, elapsed_secs=871, mean=0.608655, stdev=0.115355, best fit=0.674900, best_overall=0.674900, mean_diversity=0.134774,
indivs=665520, elapsed_secs=886, mean=0.601840, stdev=0.089009, best fit=0.674900, best_overall=0.674900, mean_diversity=0.140238,
indivs=675587, elapsed_secs=900, mean=0.611820, stdev=0.065621, best fit=0.674900, best_overall=0.674900, mean_diversity=0.130172,
indivs=685689, elapsed_secs=918, mean=0.603558, stdev=0.079365, best fit=0.674900, best_overall=0.674900, mean_diversity=0.147908,
indivs=695774, elapsed_secs=934, mean=0.584670, stdev=0.063687, best fit=0.674900, best_overall=0.674900, mean_diversity=0.158685,
indivs=705933, elapsed_secs=948, mean=0.618001, stdev=0.082784, best fit=0.674900, best_overall=0.674900, mean_diversity=0.206834,
indivs=715961, elapsed_secs=965, mean=0.608209, stdev=0.063965, best fit=0.674900, best_overall=0.674900, mean_diversity=0.132187,
indivs=726107, elapsed_secs=982, mean=0.611426, stdev=0.105536, best fit=0.674900, best_overall=0.674900, mean_diversity=0.165830,
indivs=736136, elapsed_secs=997, mean=0.606269, stdev=0.051912, best fit=0.674900, best_overall=0.674900, mean_diversity=0.170598,
indivs=746264, elapsed_secs=1012, mean=0.618475, stdev=0.093637, best fit=0.674900, best_overall=0.674900, mean_diversity=0.121767,
indivs=756405, elapsed_secs=1029, mean=0.612660, stdev=0.080348, best fit=0.674900, best_overall=0.674900, mean_diversity=0.216505,
indivs=766457, elapsed_secs=1047, mean=0.585814, stdev=0.089848, best fit=0.674900, best_overall=0.674900, mean_diversity=0.121878,
indivs=776502, elapsed_secs=1066, mean=0.617609, stdev=0.092486, best fit=0.674900, best_overall=0.674900, mean_diversity=0.198333,
indivs=786633, elapsed_secs=1081, mean=0.610002, stdev=0.072453, best fit=0.674900, best_overall=0.674900, mean_diversity=0.100771,
indivs=796645, elapsed_secs=1103, mean=0.597683, stdev=0.096624, best fit=0.674900, best_overall=0.674900, mean_diversity=0.278322,
indivs=806713, elapsed_secs=1119, mean=0.625872, stdev=0.074656, best fit=0.674900, best_overall=0.674900, mean_diversity=0.178802,
indivs=816726, elapsed_secs=1134, mean=0.586672, stdev=0.083630, best fit=0.674900, best_overall=0.674900, mean_diversity=0.138769,
indivs=826784, elapsed_secs=1151, mean=0.614675, stdev=0.112024, best fit=0.674900, best_overall=0.674900, mean_diversity=0.165370,
indivs=836879, elapsed_secs=1166, mean=0.630496, stdev=0.090361, best fit=0.674900, best_overall=0.674900, mean_diversity=0.141337,
indivs=846912, elapsed_secs=1177, mean=0.623980, stdev=0.073290, best fit=0.674900, best_overall=0.674900, mean_diversity=0.152881,
indivs=856921, elapsed_secs=1190, mean=0.586503, stdev=0.083436, best fit=0.674900, best_overall=0.674900, mean_diversity=0.207448,
indivs=867042, elapsed_secs=1206, mean=0.607931, stdev=0.100122, best fit=0.674900, best_overall=0.674900, mean_diversity=0.219444,
indivs=877048, elapsed_secs=1220, mean=0.605757, stdev=0.100153, best fit=0.674900, best_overall=0.674900, mean_diversity=0.199528,
indivs=887171, elapsed_secs=1235, mean=0.602259, stdev=0.092283, best fit=0.674900, best_overall=0.674900, mean_diversity=0.262343,
indivs=897179, elapsed_secs=1250, mean=0.592457, stdev=0.061725, best fit=0.674900, best_overall=0.674900, mean_diversity=0.173913,
indivs=907262, elapsed_secs=1264, mean=0.608262, stdev=0.106771, best fit=0.674900, best_overall=0.674900, mean_diversity=0.165214,
indivs=917354, elapsed_secs=1281, mean=0.617400, stdev=0.075210, best fit=0.674900, best_overall=0.674900, mean_diversity=0.303846,
indivs=927476, elapsed_secs=1300, mean=0.601566, stdev=0.127318, best fit=0.674900, best_overall=0.674900, mean_diversity=0.212167,
indivs=937497, elapsed_secs=1318, mean=0.618076, stdev=0.072855, best fit=0.674900, best_overall=0.674900, mean_diversity=0.198354,
indivs=947635, elapsed_secs=1334, mean=0.621416, stdev=0.099633, best fit=0.674900, best_overall=0.674900, mean_diversity=0.200570,
indivs=957741, elapsed_secs=1348, mean=0.608352, stdev=0.071331, best fit=0.674900, best_overall=0.674900, mean_diversity=0.278479,
indivs=967872, elapsed_secs=1366, mean=0.599114, stdev=0.101658, best fit=0.674900, best_overall=0.674900, mean_diversity=0.153662,
indivs=977884, elapsed_secs=1381, mean=0.608983, stdev=0.067358, best fit=0.674900, best_overall=0.674900, mean_diversity=0.189324,
indivs=987963, elapsed_secs=1397, mean=0.617426, stdev=0.090289, best fit=0.674900, best_overall=0.674900, mean_diversity=0.255762,
indivs=997999, elapsed_secs=1416, mean=0.615921, stdev=0.093999, best fit=0.674900, best_overall=0.674900, mean_diversity=0.276087,
indivs=1008039, elapsed_secs=1432, mean=0.576720, stdev=0.129273, best fit=0.674900, best_overall=0.674900, mean_diversity=0.183782,
indivs=1018183, elapsed_secs=1448, mean=0.620706, stdev=0.110323, best fit=0.674900, best_overall=0.674900, mean_diversity=0.146024,
indivs=1028223, elapsed_secs=1463, mean=0.615487, stdev=0.078404, best fit=0.674900, best_overall=0.674900, mean_diversity=0.198211,
indivs=1038244, elapsed_secs=1478, mean=0.624606, stdev=0.094366, best fit=0.674900, best_overall=0.674900, mean_diversity=0.145880,
indivs=1048290, elapsed_secs=1495, mean=0.594523, stdev=0.096486, best fit=0.674900, best_overall=0.674900, mean_diversity=0.193810,
indivs=1058330, elapsed_secs=1515, mean=0.606622, stdev=0.066118, best fit=0.674900, best_overall=0.674900, mean_diversity=0.109871,
indivs=1068378, elapsed_secs=1530, mean=0.596977, stdev=0.065012, best fit=0.674900, best_overall=0.674900, mean_diversity=0.143607,
indivs=1078412, elapsed_secs=1546, mean=0.606516, stdev=0.091700, best fit=0.674900, best_overall=0.674900, mean_diversity=0.156907,
indivs=1088499, elapsed_secs=1562, mean=0.617549, stdev=0.076664, best fit=0.674900, best_overall=0.674900, mean_diversity=0.143223,
indivs=1098575, elapsed_secs=1578, mean=0.613497, stdev=0.062757, best fit=0.674900, best_overall=0.674900, mean_diversity=0.175583,
indivs=1108663, elapsed_secs=1592, mean=0.607193, stdev=0.109549, best fit=0.674900, best_overall=0.674900, mean_diversity=0.162686,
indivs=1118839, elapsed_secs=1607, mean=0.633676, stdev=0.067174, best fit=0.674900, best_overall=0.674900, mean_diversity=0.146011,
indivs=1128889, elapsed_secs=1622, mean=0.611765, stdev=0.093251, best fit=0.674900, best_overall=0.674900, mean_diversity=0.152871,
indivs=1139030, elapsed_secs=1644, mean=0.623648, stdev=0.107921, best fit=0.674900, best_overall=0.674900, mean_diversity=0.125433,
indivs=1149076, elapsed_secs=1659, mean=0.600278, stdev=0.080146, best fit=0.674900, best_overall=0.674900, mean_diversity=0.227588,
indivs=1159201, elapsed_secs=1675, mean=0.623881, stdev=0.095453, best fit=0.674900, best_overall=0.674900, mean_diversity=0.171687,
indivs=1169251, elapsed_secs=1689, mean=0.608544, stdev=0.062928, best fit=0.674900, best_overall=0.674900, mean_diversity=0.170415,
indivs=1179254, elapsed_secs=1704, mean=0.603590, stdev=0.093326, best fit=0.674900, best_overall=0.674900, mean_diversity=0.140398,
indivs=1189359, elapsed_secs=1717, mean=0.613901, stdev=0.098028, best fit=0.674900, best_overall=0.674900, mean_diversity=0.133548,
indivs=1199388, elapsed_secs=1735, mean=0.615869, stdev=0.107099, best fit=0.674900, best_overall=0.674900, mean_diversity=0.148952,
indivs=1209508, elapsed_secs=1751, mean=0.608625, stdev=0.099452, best fit=0.674900, best_overall=0.674900, mean_diversity=0.160206,
indivs=1219650, elapsed_secs=1767, mean=0.616426, stdev=0.092736, best fit=0.674900, best_overall=0.674900, mean_diversity=0.195819,
indivs=1229731, elapsed_secs=1785, mean=0.605149, stdev=0.081179, best fit=0.674900, best_overall=0.674900, mean_diversity=0.095112,
indivs=1239738, elapsed_secs=1802, mean=0.601745, stdev=0.100964, best fit=0.674900, best_overall=0.674900, mean_diversity=0.163412,
indivs=1249777, elapsed_secs=1817, mean=0.607742, stdev=0.080793, best fit=0.674900, best_overall=0.674900, mean_diversity=0.101617,
indivs=1259806, elapsed_secs=1837, mean=0.610935, stdev=0.108660, best fit=0.674900, best_overall=0.674900, mean_diversity=0.122570,
indivs=1269975, elapsed_secs=1851, mean=0.620776, stdev=0.094005, best fit=0.674900, best_overall=0.674900, mean_diversity=0.166753,
