Random seed = 683988653
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
evol_id:91432
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10229, elapsed_secs=16, mean=0.467262, stdev=0.124775, best fit=0.554400, best_overall=0.554400, mean_diversity=0.173731,
indivs=20262, elapsed_secs=23, mean=0.487265, stdev=0.086432, best fit=0.557600, best_overall=0.557600, mean_diversity=0.110996,
indivs=30339, elapsed_secs=32, mean=0.585801, stdev=0.105810, best fit=0.669000, best_overall=0.669000, mean_diversity=0.312835,
indivs=40463, elapsed_secs=43, mean=0.547642, stdev=0.106070, best fit=0.669100, best_overall=0.669100, mean_diversity=0.098668,
indivs=50501, elapsed_secs=52, mean=0.547103, stdev=0.136580, best fit=0.669100, best_overall=0.669100, mean_diversity=0.252863,
indivs=60512, elapsed_secs=60, mean=0.587671, stdev=0.083266, best fit=0.669100, best_overall=0.669100, mean_diversity=0.092575,
indivs=70519, elapsed_secs=70, mean=0.605342, stdev=0.115915, best fit=0.669100, best_overall=0.669100, mean_diversity=0.138083,
indivs=80588, elapsed_secs=82, mean=0.551221, stdev=0.139491, best fit=0.669800, best_overall=0.669800, mean_diversity=0.268668,
indivs=90621, elapsed_secs=98, mean=0.635608, stdev=0.089046, best fit=0.669800, best_overall=0.669800, mean_diversity=0.055880,
indivs=100636, elapsed_secs=115, mean=0.548920, stdev=0.076146, best fit=0.669900, best_overall=0.669900, mean_diversity=0.248053,
indivs=110793, elapsed_secs=130, mean=0.594862, stdev=0.112031, best fit=0.669900, best_overall=0.669900, mean_diversity=0.197992,
indivs=120881, elapsed_secs=147, mean=0.579348, stdev=0.141393, best fit=0.669900, best_overall=0.669900, mean_diversity=0.125456,
indivs=130909, elapsed_secs=163, mean=0.511018, stdev=0.123085, best fit=0.669900, best_overall=0.669900, mean_diversity=0.224565,
indivs=140998, elapsed_secs=179, mean=0.533976, stdev=0.067851, best fit=0.669900, best_overall=0.669900, mean_diversity=0.268221,
indivs=151003, elapsed_secs=195, mean=0.578738, stdev=0.068794, best fit=0.670200, best_overall=0.670200, mean_diversity=0.126018,
indivs=161014, elapsed_secs=209, mean=0.497615, stdev=0.044097, best fit=0.670200, best_overall=0.670200, mean_diversity=0.355914,
indivs=171086, elapsed_secs=218, mean=0.566917, stdev=0.091391, best fit=0.670200, best_overall=0.670200, mean_diversity=0.263489,
indivs=181174, elapsed_secs=227, mean=0.523469, stdev=0.058574, best fit=0.670200, best_overall=0.670200, mean_diversity=0.183295,
indivs=191246, elapsed_secs=236, mean=0.591316, stdev=0.071807, best fit=0.670200, best_overall=0.670200, mean_diversity=0.115067,
