Random seed = 686640994
/p/work/rditljtd/automl_zero/baseline_qd.db3
evol_id:22201
SQLite Version: 3.4.0

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=154, mean=0.474799, stdev=0.131735, best fit=0.579700, best_overall=0.579700, mean_diversity=0.145647,
indivs=20396, elapsed_secs=354, mean=0.495784, stdev=0.050455, best fit=0.579700, best_overall=0.579700, mean_diversity=0.110674,
indivs=30494, elapsed_secs=538, mean=0.501984, stdev=0.010899, best fit=0.587300, best_overall=0.587300, mean_diversity=0.082375,
indivs=40592, elapsed_secs=712, mean=0.500572, stdev=0.008899, best fit=0.587300, best_overall=0.587300, mean_diversity=0.158319,
indivs=50690, elapsed_secs=872, mean=0.490344, stdev=0.070641, best fit=0.587300, best_overall=0.587300, mean_diversity=0.263105,
indivs=60788, elapsed_secs=1052, mean=0.499920, stdev=0.033104, best fit=0.587300, best_overall=0.587300, mean_diversity=0.211463,
indivs=70886, elapsed_secs=1290, mean=0.488894, stdev=0.087256, best fit=0.587300, best_overall=0.587300, mean_diversity=0.309424,
indivs=80984, elapsed_secs=1465, mean=0.497936, stdev=0.053429, best fit=0.587300, best_overall=0.587300, mean_diversity=0.156849,
indivs=91082, elapsed_secs=1596, mean=0.496377, stdev=0.034136, best fit=0.587300, best_overall=0.587300, mean_diversity=0.168808,
indivs=101180, elapsed_secs=1774, mean=0.500782, stdev=0.009396, best fit=0.587300, best_overall=0.587300, mean_diversity=0.125793,
indivs=111278, elapsed_secs=1951, mean=0.501151, stdev=0.008977, best fit=0.587300, best_overall=0.587300, mean_diversity=0.124450,
indivs=121376, elapsed_secs=2128, mean=0.501203, stdev=0.009255, best fit=0.587300, best_overall=0.587300, mean_diversity=0.103794,
indivs=131474, elapsed_secs=2300, mean=0.498944, stdev=0.014154, best fit=0.587300, best_overall=0.587300, mean_diversity=0.185530,
indivs=141572, elapsed_secs=2457, mean=0.501033, stdev=0.010238, best fit=0.602900, best_overall=0.602900, mean_diversity=0.337551,
indivs=151670, elapsed_secs=2633, mean=0.543964, stdev=0.110426, best fit=0.673200, best_overall=0.673200, mean_diversity=0.054160,
indivs=161768, elapsed_secs=2825, mean=0.598019, stdev=0.129966, best fit=0.673200, best_overall=0.673200, mean_diversity=0.226408,
indivs=171866, elapsed_secs=3038, mean=0.585843, stdev=0.131792, best fit=0.673200, best_overall=0.673200, mean_diversity=0.127196,
indivs=181964, elapsed_secs=3280, mean=0.552931, stdev=0.105384, best fit=0.673200, best_overall=0.673200, mean_diversity=0.237409,
indivs=192062, elapsed_secs=3500, mean=0.570471, stdev=0.142456, best fit=0.673200, best_overall=0.673200, mean_diversity=0.171633,
indivs=202160, elapsed_secs=3672, mean=0.595601, stdev=0.098500, best fit=0.673200, best_overall=0.673200, mean_diversity=0.268828,
indivs=212258, elapsed_secs=3894, mean=0.543994, stdev=0.093979, best fit=0.673200, best_overall=0.673200, mean_diversity=0.113978,
indivs=222356, elapsed_secs=4104, mean=0.564327, stdev=0.127810, best fit=0.673200, best_overall=0.673200, mean_diversity=0.162877,
indivs=232454, elapsed_secs=4337, mean=0.512809, stdev=0.109670, best fit=0.673200, best_overall=0.673200, mean_diversity=0.189367,
indivs=242552, elapsed_secs=4590, mean=0.535304, stdev=0.069334, best fit=0.673200, best_overall=0.673200, mean_diversity=0.107465,
indivs=252650, elapsed_secs=4806, mean=0.550980, stdev=0.189682, best fit=0.673200, best_overall=0.673200, mean_diversity=0.320877,
indivs=262748, elapsed_secs=5037, mean=0.571314, stdev=0.135195, best fit=0.673200, best_overall=0.673200, mean_diversity=0.245280,
indivs=272846, elapsed_secs=5251, mean=0.508406, stdev=0.027725, best fit=0.673200, best_overall=0.673200, mean_diversity=0.199820,
indivs=282944, elapsed_secs=5480, mean=0.565532, stdev=0.116249, best fit=0.673200, best_overall=0.673200, mean_diversity=0.232866,
indivs=293042, elapsed_secs=5684, mean=0.573539, stdev=0.116784, best fit=0.673200, best_overall=0.673200, mean_diversity=0.190114,
indivs=303140, elapsed_secs=5950, mean=0.525584, stdev=0.174912, best fit=0.687700, best_overall=0.687700, mean_diversity=0.225117,
indivs=313238, elapsed_secs=6220, mean=0.587347, stdev=0.085756, best fit=0.687700, best_overall=0.687700, mean_diversity=0.251417,
indivs=323336, elapsed_secs=6509, mean=0.584043, stdev=0.140680, best fit=0.687700, best_overall=0.687700, mean_diversity=0.106129,
indivs=333434, elapsed_secs=6803, mean=0.550076, stdev=0.166075, best fit=0.687900, best_overall=0.687900, mean_diversity=0.107271,
indivs=343532, elapsed_secs=7087, mean=0.542084, stdev=0.157044, best fit=0.687900, best_overall=0.687900, mean_diversity=0.231299,
indivs=353630, elapsed_secs=7362, mean=0.514904, stdev=0.206926, best fit=0.687900, best_overall=0.687900, mean_diversity=0.113712,
