Random seed = 1402615949
/p/work/rditljtd/automl_zero/baseline.db3
evol_id:70098
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=85, mean=0.507825, stdev=0.022604, best fit=0.573000, best_overall=0.573000, mean_diversity=0.194882,
indivs=20396, elapsed_secs=403, mean=0.539543, stdev=0.039561, best fit=0.584100, best_overall=0.584100, mean_diversity=0.189433,
indivs=30494, elapsed_secs=738, mean=0.552289, stdev=0.073751, best fit=0.591700, best_overall=0.591700, mean_diversity=0.201102,
indivs=40592, elapsed_secs=894, mean=0.539225, stdev=0.092277, best fit=0.593200, best_overall=0.593200, mean_diversity=0.115881,
indivs=50690, elapsed_secs=1048, mean=0.541613, stdev=0.095527, best fit=0.594600, best_overall=0.594600, mean_diversity=0.109443,
indivs=60788, elapsed_secs=1322, mean=0.604121, stdev=0.142789, best fit=0.669700, best_overall=0.669700, mean_diversity=0.286267,
indivs=70886, elapsed_secs=1638, mean=0.588985, stdev=0.175140, best fit=0.671900, best_overall=0.671900, mean_diversity=0.099905,
indivs=80984, elapsed_secs=2045, mean=0.599541, stdev=0.149674, best fit=0.682400, best_overall=0.682400, mean_diversity=0.190093,
indivs=91082, elapsed_secs=2381, mean=0.612800, stdev=0.156045, best fit=0.682400, best_overall=0.682400, mean_diversity=0.125750,
indivs=101180, elapsed_secs=2749, mean=0.607574, stdev=0.146315, best fit=0.682600, best_overall=0.682600, mean_diversity=0.154071,
indivs=111278, elapsed_secs=3030, mean=0.571509, stdev=0.196431, best fit=0.682700, best_overall=0.682700, mean_diversity=0.146915,
indivs=121376, elapsed_secs=3285, mean=0.597230, stdev=0.168905, best fit=0.683700, best_overall=0.683700, mean_diversity=0.173373,
indivs=131474, elapsed_secs=3558, mean=0.565154, stdev=0.216356, best fit=0.683700, best_overall=0.683700, mean_diversity=0.127473,
indivs=141572, elapsed_secs=3851, mean=0.575203, stdev=0.205647, best fit=0.683700, best_overall=0.683700, mean_diversity=0.112384,
