Random seed = 1510862957
/p/work/rditljtd/automl_zero/baseline_full.db3
evol_id:35591
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10327, elapsed_secs=40, mean=0.543421, stdev=0.029319, best fit=0.565600, best_overall=0.565600, mean_diversity=0.158136,
indivs=20408, elapsed_secs=81, mean=0.506025, stdev=0.076418, best fit=0.577800, best_overall=0.577800, mean_diversity=0.162432,
indivs=30484, elapsed_secs=112, mean=0.551090, stdev=0.039155, best fit=0.584200, best_overall=0.584200, mean_diversity=0.166182,
indivs=40532, elapsed_secs=131, mean=0.535324, stdev=0.060703, best fit=0.585100, best_overall=0.585100, mean_diversity=0.144465,
indivs=50542, elapsed_secs=160, mean=0.523768, stdev=0.057376, best fit=0.585100, best_overall=0.585100, mean_diversity=0.165417,
indivs=60688, elapsed_secs=182, mean=0.537636, stdev=0.032180, best fit=0.585100, best_overall=0.585100, mean_diversity=0.227455,
indivs=70755, elapsed_secs=192, mean=0.533533, stdev=0.029445, best fit=0.585100, best_overall=0.585100, mean_diversity=0.155266,
indivs=80828, elapsed_secs=214, mean=0.527271, stdev=0.028407, best fit=0.585100, best_overall=0.585100, mean_diversity=0.222479,
indivs=90918, elapsed_secs=228, mean=0.540076, stdev=0.029574, best fit=0.587500, best_overall=0.587500, mean_diversity=0.152637,
indivs=101013, elapsed_secs=252, mean=0.533263, stdev=0.028639, best fit=0.587500, best_overall=0.587500, mean_diversity=0.126617,
indivs=111169, elapsed_secs=300, mean=0.534839, stdev=0.033102, best fit=0.590700, best_overall=0.590700, mean_diversity=0.124335,
indivs=121195, elapsed_secs=320, mean=0.523558, stdev=0.080307, best fit=0.590700, best_overall=0.590700, mean_diversity=0.186588,
indivs=131248, elapsed_secs=342, mean=0.530498, stdev=0.026997, best fit=0.590700, best_overall=0.590700, mean_diversity=0.197991,
indivs=141293, elapsed_secs=402, mean=0.520253, stdev=0.078657, best fit=0.590700, best_overall=0.590700, mean_diversity=0.303607,
indivs=151385, elapsed_secs=425, mean=0.589340, stdev=0.146627, best fit=0.669600, best_overall=0.669600, mean_diversity=0.136028,
indivs=161437, elapsed_secs=449, mean=0.603418, stdev=0.078482, best fit=0.669600, best_overall=0.669600, mean_diversity=0.128149,
indivs=171509, elapsed_secs=471, mean=0.580146, stdev=0.085310, best fit=0.670200, best_overall=0.670200, mean_diversity=0.129522,
