Random seed = 1886865829
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
evol_id:96262
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_full_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10292, elapsed_secs=31, mean=0.491162, stdev=0.070551, best fit=0.545400, best_overall=0.545400, mean_diversity=0.362438,
indivs=20332, elapsed_secs=87, mean=0.516090, stdev=0.080784, best fit=0.557600, best_overall=0.557600, mean_diversity=0.107717,
indivs=30389, elapsed_secs=187, mean=0.495277, stdev=0.118739, best fit=0.580600, best_overall=0.580600, mean_diversity=0.207966,
indivs=40456, elapsed_secs=205, mean=0.584996, stdev=0.091735, best fit=0.668900, best_overall=0.668900, mean_diversity=0.137103,
indivs=50457, elapsed_secs=216, mean=0.507284, stdev=0.121931, best fit=0.668900, best_overall=0.668900, mean_diversity=0.307902,
indivs=60508, elapsed_secs=239, mean=0.498056, stdev=0.080219, best fit=0.668900, best_overall=0.668900, mean_diversity=0.276367,
indivs=70557, elapsed_secs=251, mean=0.562169, stdev=0.081200, best fit=0.669100, best_overall=0.669100, mean_diversity=0.261647,
indivs=80615, elapsed_secs=286, mean=0.524792, stdev=0.075927, best fit=0.669100, best_overall=0.669100, mean_diversity=0.276122,
indivs=90678, elapsed_secs=305, mean=0.501727, stdev=0.016825, best fit=0.669100, best_overall=0.669100, mean_diversity=0.103971,
indivs=100696, elapsed_secs=373, mean=0.576416, stdev=0.078082, best fit=0.669100, best_overall=0.669100, mean_diversity=0.266632,
indivs=110763, elapsed_secs=389, mean=0.551041, stdev=0.113876, best fit=0.669100, best_overall=0.669100, mean_diversity=0.266413,
indivs=120796, elapsed_secs=427, mean=0.531195, stdev=0.072597, best fit=0.669100, best_overall=0.669100, mean_diversity=0.219503,
indivs=130845, elapsed_secs=435, mean=0.561493, stdev=0.081058, best fit=0.669100, best_overall=0.669100, mean_diversity=0.186531,
indivs=140852, elapsed_secs=445, mean=0.531950, stdev=0.119685, best fit=0.669100, best_overall=0.669100, mean_diversity=0.329703,
indivs=150901, elapsed_secs=500, mean=0.547567, stdev=0.072487, best fit=0.669100, best_overall=0.669100, mean_diversity=0.151564,
indivs=160945, elapsed_secs=529, mean=0.519833, stdev=0.068801, best fit=0.669100, best_overall=0.669100, mean_diversity=0.304234,
indivs=170988, elapsed_secs=545, mean=0.562029, stdev=0.079971, best fit=0.669100, best_overall=0.669100, mean_diversity=0.257870,
indivs=181034, elapsed_secs=563, mean=0.534959, stdev=0.059526, best fit=0.669200, best_overall=0.669200, mean_diversity=0.257473,
indivs=191038, elapsed_secs=606, mean=0.550738, stdev=0.063222, best fit=0.669200, best_overall=0.669200, mean_diversity=0.280177,
indivs=201114, elapsed_secs=638, mean=0.568293, stdev=0.101614, best fit=0.669200, best_overall=0.669200, mean_diversity=0.187924,
indivs=211249, elapsed_secs=701, mean=0.570895, stdev=0.083417, best fit=0.669200, best_overall=0.669200, mean_diversity=0.098382,
indivs=221376, elapsed_secs=770, mean=0.543701, stdev=0.092781, best fit=0.669200, best_overall=0.669200, mean_diversity=0.268165,
indivs=231451, elapsed_secs=802, mean=0.603552, stdev=0.087392, best fit=0.669200, best_overall=0.669200, mean_diversity=0.150404,
indivs=241528, elapsed_secs=817, mean=0.533069, stdev=0.102437, best fit=0.670000, best_overall=0.670000, mean_diversity=0.220755,
indivs=251572, elapsed_secs=845, mean=0.549021, stdev=0.078685, best fit=0.670500, best_overall=0.670500, mean_diversity=0.229265,
indivs=261622, elapsed_secs=858, mean=0.503398, stdev=0.023786, best fit=0.670500, best_overall=0.670500, mean_diversity=0.084384,
indivs=271730, elapsed_secs=881, mean=0.445312, stdev=0.177450, best fit=0.670500, best_overall=0.670500, mean_diversity=0.198323,
indivs=281869, elapsed_secs=889, mean=0.568090, stdev=0.097328, best fit=0.670700, best_overall=0.670700, mean_diversity=0.101933,
indivs=291893, elapsed_secs=920, mean=0.578731, stdev=0.082853, best fit=0.670700, best_overall=0.670700, mean_diversity=0.281926,
indivs=301893, elapsed_secs=974, mean=0.526249, stdev=0.061638, best fit=0.670700, best_overall=0.670700, mean_diversity=0.336480,
indivs=311967, elapsed_secs=985, mean=0.525431, stdev=0.076504, best fit=0.671400, best_overall=0.671400, mean_diversity=0.368280,
indivs=322043, elapsed_secs=1015, mean=0.504230, stdev=0.098174, best fit=0.671400, best_overall=0.671400, mean_diversity=0.288577,
indivs=332144, elapsed_secs=1067, mean=0.578929, stdev=0.153465, best fit=0.671400, best_overall=0.671400, mean_diversity=0.226022,
indivs=342188, elapsed_secs=1100, mean=0.524278, stdev=0.082575, best fit=0.671400, best_overall=0.671400, mean_diversity=0.360305,
indivs=352309, elapsed_secs=1112, mean=0.551106, stdev=0.112701, best fit=0.671400, best_overall=0.671400, mean_diversity=0.294580,
indivs=362442, elapsed_secs=1148, mean=0.555173, stdev=0.121726, best fit=0.673400, best_overall=0.673400, mean_diversity=0.200557,
indivs=372523, elapsed_secs=1176, mean=0.505301, stdev=0.036788, best fit=0.673400, best_overall=0.673400, mean_diversity=0.100888,
indivs=382562, elapsed_secs=1191, mean=0.505556, stdev=0.027509, best fit=0.673400, best_overall=0.673400, mean_diversity=0.111588,
indivs=392584, elapsed_secs=1220, mean=0.571758, stdev=0.062870, best fit=0.673400, best_overall=0.673400, mean_diversity=0.217359,
