Random seed = 1096403116
/p/work/rditljtd/automl_zero/baseline_qd.db3
evol_id:11378
SQLite Version: 3.45.1

Creating database for run.
/p/work/rditljtd/automl_zero/baseline_qd.db3
Running evolution experiment (on the T_search tasks)...
indivs=200, elapsed_secs=0, mean=0.500000, stdev=0.000000, best fit=0.500000, best_overall=0.500000, mean_diversity=0.000000,
indivs=10298, elapsed_secs=217, mean=0.465063, stdev=0.138152, best fit=0.577800, best_overall=0.577800, mean_diversity=0.306006,
indivs=20396, elapsed_secs=469, mean=0.509825, stdev=0.023977, best fit=0.578300, best_overall=0.578300, mean_diversity=0.241892,
indivs=30494, elapsed_secs=687, mean=0.500783, stdev=0.007791, best fit=0.578300, best_overall=0.578300, mean_diversity=0.045510,
indivs=40592, elapsed_secs=950, mean=0.535497, stdev=0.089561, best fit=0.661500, best_overall=0.661500, mean_diversity=0.192807,
indivs=50690, elapsed_secs=1149, mean=0.529648, stdev=0.103824, best fit=0.672100, best_overall=0.672100, mean_diversity=0.256596,
indivs=60788, elapsed_secs=1334, mean=0.589214, stdev=0.131432, best fit=0.672600, best_overall=0.672600, mean_diversity=0.109414,
indivs=70886, elapsed_secs=1506, mean=0.557076, stdev=0.080618, best fit=0.672600, best_overall=0.672600, mean_diversity=0.285182,
indivs=80984, elapsed_secs=1666, mean=0.528018, stdev=0.118940, best fit=0.672600, best_overall=0.672600, mean_diversity=0.167776,
indivs=91082, elapsed_secs=1837, mean=0.600965, stdev=0.100394, best fit=0.672600, best_overall=0.672600, mean_diversity=0.173340,
indivs=101180, elapsed_secs=1983, mean=0.548480, stdev=0.161357, best fit=0.672600, best_overall=0.672600, mean_diversity=0.154115,
indivs=111278, elapsed_secs=2119, mean=0.584695, stdev=0.084134, best fit=0.672600, best_overall=0.672600, mean_diversity=0.274147,
indivs=121376, elapsed_secs=2278, mean=0.508593, stdev=0.089837, best fit=0.672600, best_overall=0.672600, mean_diversity=0.194446,
indivs=131474, elapsed_secs=2454, mean=0.498354, stdev=0.064712, best fit=0.672600, best_overall=0.672600, mean_diversity=0.282371,
indivs=141572, elapsed_secs=2618, mean=0.578751, stdev=0.117457, best fit=0.672600, best_overall=0.672600, mean_diversity=0.429686,
indivs=151670, elapsed_secs=2803, mean=0.486009, stdev=0.090060, best fit=0.672600, best_overall=0.672600, mean_diversity=0.107933,
indivs=161768, elapsed_secs=2964, mean=0.599654, stdev=0.096250, best fit=0.672600, best_overall=0.672600, mean_diversity=0.140187,
indivs=171866, elapsed_secs=3140, mean=0.508622, stdev=0.089885, best fit=0.673000, best_overall=0.673000, mean_diversity=0.126817,
indivs=181964, elapsed_secs=3336, mean=0.497344, stdev=0.113955, best fit=0.673000, best_overall=0.673000, mean_diversity=0.293189,
indivs=192062, elapsed_secs=3485, mean=0.555533, stdev=0.115884, best fit=0.673000, best_overall=0.673000, mean_diversity=0.133454,
indivs=202160, elapsed_secs=3667, mean=0.480858, stdev=0.127178, best fit=0.673000, best_overall=0.673000, mean_diversity=0.154893,
indivs=212258, elapsed_secs=3855, mean=0.598281, stdev=0.101286, best fit=0.673000, best_overall=0.673000, mean_diversity=0.060896,
