Results of base diversity function total ops and total vars

Baseline Full

indivs=15506285, elapsed_secs=42191, mean=0.606380, stdev=0.126364, best fit=0.699122, best_overall=0.699122, mean_diversity=0.139128,

indivs=20741492, elapsed_secs=34350, mean=0.630039, stdev=0.146185, best fit=0.701600, best_overall=0.701600, mean_diversity=0.112783,
indivs=16116608, elapsed_secs=51157, mean=0.621228, stdev=0.103545, best fit=0.695400, best_overall=0.695400, mean_diversity=0.127195,
indivs=12148094, elapsed_secs=41965, mean=0.583103, stdev=0.114019, best fit=0.702500, best_overall=0.702500, mean_diversity=0.126944,
indivs=15339062, elapsed_secs=40793, mean=0.617438, stdev=0.172513, best fit=0.702200, best_overall=0.702200, mean_diversity=0.139600,
indivs=20660708, elapsed_secs=49070, mean=0.633262, stdev=0.123034, best fit=0.698400, best_overall=0.698400, mean_diversity=0.160813,
indivs=12521720, elapsed_secs=39216, mean=0.618917, stdev=0.129311, best fit=0.691700, best_overall=0.691700, mean_diversity=0.125774,
indivs=16146902, elapsed_secs=27699, mean=0.600502, stdev=0.109296, best fit=0.701400, best_overall=0.701400, mean_diversity=0.115225,
indivs=18085718, elapsed_secs=46243, mean=0.620632, stdev=0.150486, best fit=0.703100, best_overall=0.703100, mean_diversity=0.077861,
indivs=16227686, elapsed_secs=33568, mean=0.628161, stdev=0.147916, best fit=0.703300, best_overall=0.703300, mean_diversity=0.103817,
indivs=16237784, elapsed_secs=28178, mean=0.602393, stdev=0.085897, best fit=0.701200, best_overall=0.701200, mean_diversity=0.147547,
indivs=19812476, elapsed_secs=38710, mean=0.606291, stdev=0.122384, best fit=0.702400, best_overall=0.702400, mean_diversity=0.297748,
indivs=10199180, elapsed_secs=49467, mean=0.607604, stdev=0.111429, best fit=0.694300, best_overall=0.694300, mean_diversity=0.225595,
indivs=11602802, elapsed_secs=37586, mean=0.578492, stdev=0.159783, best fit=0.733600, best_overall=0.733600, mean_diversity=0.197197,
indivs=10057808, elapsed_secs=37037, mean=0.618593, stdev=0.087332, best fit=0.677800, best_overall=0.677800, mean_diversity=0.111627,
indivs=14652398, elapsed_secs=48256, mean=0.582812, stdev=0.140910, best fit=0.700700, best_overall=0.700700, mean_diversity=0.098936,
indivs=18893558, elapsed_secs=40646, mean=0.624517, stdev=0.145754, best fit=0.701400, best_overall=0.701400, mean_diversity=0.142233,
indivs=16459940, elapsed_secs=40179, mean=0.607445, stdev=0.095135, best fit=0.701300, best_overall=0.701300, mean_diversity=0.204275,
indivs=18509834, elapsed_secs=44120, mean=0.607111, stdev=0.117062, best fit=0.700000, best_overall=0.700000, mean_diversity=0.216374,
